dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319991	MCAO	primary	Astrocyte	Lyz2	0.5348525469168903	0.5348525469168903	0.0160857908847185	1.5482573726541426	0.4874968408907821	0.8927139530383664	0.277774055676341
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Lyz2	0.4533073929961075	0.4533073929961075	0.0214007782101167	0.7509727626459126	0.1757282710409475	0.6491981686282681	0.2603395094349894
GSE245386	GSM7841720	Sham	primary	Astrocyte	Lyz2	0.1617647058823532	0.1617647058823532	0.0040106951871657	0.3235294117647064	0.0252077451296393	0.2981582320364087	0.0615380867830513
GSE245386	GSM7841721	Sham	primary	Astrocyte	Lyz2	0.1042830540037243	0.1042830540037243	0.0037243947858473	0.1545623836126628	0.0091907197591938	0.1018102722890156	0.0065665780338416
GSE245386	GSM7841722	Sham	primary	Astrocyte	Lyz2	0.1084656084656084	0.1084656084656084	0.0105820105820105	0.2116402116402116	0.0868938862917784	0.0997420278769802	0.0273195689735723
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Lyz2	0.1145833333333333	0.1145833333333333	0.0173611111111111	0.173611111111111	0.0465883244520947	0.108859005720547	0.0220120946468146
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Lyz2	0.074022346368715	0.074022346368715	0.0013966480446927	0.1033519553072625	0.0050645266963043	0.0698532251368231	0.0040860088490578
GSE174574	GSM5319987	Sham	primary	Astrocyte	Tyrobp	0.224657534246575	0.224657534246575	0.0054794520547945	0.4438356164383557	0.0907039358618173	0.3672702413480955	0.1418697138580487
GSE174574	GSM5319988	Sham	primary	Astrocyte	Tyrobp	0.3162162162162155	0.3162162162162155	0.0216216216216216	0.5702702702702691	0.2300827528655561	0.5172818563334642	0.3005689599124675
GSE174574	GSM5319989	Sham	primary	Astrocyte	Tyrobp	0.2958963282937374	0.2958963282937374	0.019438444924406	0.6069114470842345	0.215434305769523	0.4842217733323921	0.2285846680273921
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Tyrobp	0.4426020408163235	0.4426020408163235	0.0204081632653061	0.968112244897962	0.2327533515959549	0.7213086845749799	0.3306648283329035
GSE174574	GSM5319991	MCAO	primary	Astrocyte	Tyrobp	0.4812332439678287	0.4812332439678287	0.032171581769437	1.176943699731899	0.3241504784235545	0.8061126240425329	0.4135108690722055
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Tyrobp	0.4377431906614772	0.4377431906614772	0.083657587548638	1.0252918287937725	0.3685616097739939	0.6931014681966823	0.4441999956348975
GSE245386	GSM7841720	Sham	primary	Astrocyte	Tyrobp	0.454545454545456	0.454545454545456	0.0721925133689839	0.931818181818184	0.3268496241041322	0.8478121480481058	0.3912862331663491
GSE245386	GSM7841721	Sham	primary	Astrocyte	Tyrobp	0.3296089385474857	0.3296089385474857	0.0279329608938547	0.7709497206703938	0.3007822140117299	0.431992616999558	0.0749332089485119
GSE245386	GSM7841722	Sham	primary	Astrocyte	Tyrobp	0.3068783068783074	0.3068783068783074	0.0396825396825396	0.9074074074074086	0.4771483703715698	0.434871119096766	0.1075614669179786
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Tyrobp	0.4131944444444435	0.4131944444444435	0.0381944444444444	1.229166666666668	0.5440681835496723	0.5565456452312135	0.1177865825894025
GSE245386	GSM7841724	MCAO	primary	Astrocyte	Tyrobp	0.2974860335195545	0.2974860335195545	0.0111731843575419	0.6773743016759801	0.135111243363893	0.3238647651509225	0.0329569264413784
GSE174574	GSM5319987	Sham	primary	Endothelial	C1qa	0.3903095558546474	0.3903095558546474	0.0	0.5329744279946196	5.3668833850798616e-08	0.6960104738528121	2.222845473228537e-07
GSE174574	GSM5319988	Sham	primary	Endothelial	C1qa	0.5102941176470572	0.5102941176470572	0.000735294117647	0.7492647058823506	0.1008208682425989	0.9181856903784444	0.2822541368950954
GSE174574	GSM5319989	Sham	primary	Endothelial	C1qa	0.5032993401319685	0.5032993401319685	0.0	0.7144571085782883	0.0001798182666268	0.8892931009905841	0.0008326470113048
