config	allocation_id	discovery_allocation	validation_allocation	is_observed	metric	gate	n_candidates	n_nonzero_both	n_zero_discovery	n_zero_validation	n_same_direction	same_direction_all_fraction	same_direction_nonzero_fraction	spearman_rho
primary	25	2	5	False	custom_score	0.1	310	310	0	0	100	0.3225806451612903	0.3225806451612903	-0.5372235159152439
primary	26	2	6	False	custom_score	0.1	309	309	0	0	150	0.4854368932038835	0.4854368932038835	0.132990009190154
primary	27	2	7	False	custom_score	0.1	308	308	0	0	100	0.3246753246753247	0.3246753246753247	-0.5352684688969375
primary	28	2	8	False	custom_score	0.1	311	311	0	0	136	0.4372990353697749	0.4372990353697749	0.0566317443593754
primary	29	2	9	False	custom_score	0.1	321	321	0	0	92	0.2866043613707165	0.2866043613707165	-0.6803908255193202
primary	30	3	0	False	custom_score	0.1	311	311	0	0	205	0.6591639871382636	0.6591639871382636	0.524540927876323
primary	31	3	1	False	custom_score	0.1	312	312	0	0	196	0.6282051282051282	0.6282051282051282	0.4958768904952454
primary	32	3	2	False	custom_score	0.1	301	301	0	0	66	0.2192691029900332	0.2192691029900332	-0.6807207059736213
primary	33	3	3	False	custom_score	0.1	301	301	0	0	122	0.4053156146179402	0.4053156146179402	-0.224932614229085
primary	34	3	4	False	custom_score	0.1	313	313	0	0	241	0.7699680511182109	0.7699680511182109	0.740173828718505
primary	35	3	5	False	custom_score	0.1	300	300	0	0	109	0.3633333333333333	0.3633333333333333	-0.5057663986858518
primary	36	3	6	False	custom_score	0.1	300	300	0	0	200	0.6666666666666666	0.6666666666666666	0.3727088907007613
primary	37	3	7	False	custom_score	0.1	299	299	0	0	102	0.3411371237458194	0.3411371237458194	-0.5111134455149033
primary	38	3	8	False	custom_score	0.1	301	301	0	0	194	0.6445182724252492	0.6445182724252492	0.3161772713861678
primary	39	3	9	False	custom_score	0.1	312	312	0	0	94	0.3012820512820512	0.3012820512820512	-0.628905327810962
primary	40	4	0	False	custom_score	0.1	318	318	0	0	211	0.6635220125786163	0.6635220125786163	0.5833666385671249
primary	41	4	1	False	custom_score	0.1	319	319	0	0	220	0.6896551724137931	0.6896551724137931	0.5732177450940708
primary	42	4	2	False	custom_score	0.1	308	308	0	0	128	0.4155844155844156	0.4155844155844156	-0.354447039438085
primary	43	4	3	False	custom_score	0.1	308	308	0	0	158	0.512987012987013	0.512987012987013	-0.0113271369731558
primary	44	4	4	False	custom_score	0.1	320	320	0	0	209	0.653125	0.653125	0.5461693130858176
primary	45	4	5	False	custom_score	0.1	307	307	0	0	103	0.3355048859934853	0.3355048859934853	-0.5344088106329792
primary	46	4	6	False	custom_score	0.1	307	307	0	0	158	0.5146579804560261	0.5146579804560261	0.1036723758412642
primary	47	4	7	False	custom_score	0.1	306	306	0	0	101	0.3300653594771242	0.3300653594771242	-0.5219035788535541
primary	48	4	8	False	custom_score	0.1	308	308	0	0	151	0.4902597402597403	0.4902597402597403	0.0401395752000202
primary	49	4	9	False	custom_score	0.1	319	319	0	0	94	0.2946708463949843	0.2946708463949843	-0.6116574517317996
primary	50	5	0	False	custom_score	0.1	318	318	0	0	226	0.710691823899371	0.710691823899371	0.6255820019636094
primary	51	5	1	False	custom_score	0.1	319	319	0	0	227	0.7115987460815048	0.7115987460815048	0.6255307759971418
primary	52	5	2	False	custom_score	0.1	308	308	0	0	131	0.4253246753246753	0.4253246753246753	-0.2974776538601574
primary	53	5	3	False	custom_score	0.1	308	308	0	0	171	0.5551948051948052	0.5551948051948052	0.0332326891985494
primary	54	5	4	False	custom_score	0.1	320	320	0	0	213	0.665625	0.665625	0.5375662001520158
primary	55	5	5	False	custom_score	0.1	307	307	0	0	93	0.3029315960912052	0.3029315960912052	-0.5598026275543796
primary	56	5	6	False	custom_score	0.1	307	307	0	0	154	0.501628664495114	0.501628664495114	0.0317834336128302
primary	57	5	7	False	custom_score	0.1	306	306	0	0	90	0.2941176470588235	0.2941176470588235	-0.5439859914930402
primary	58	5	8	False	custom_score	0.1	308	308	0	0	143	0.4642857142857143	0.4642857142857143	-0.0208272368780152
primary	59	5	9	False	custom_score	0.1	319	319	0	0	91	0.2852664576802508	0.2852664576802508	-0.6388566198277008
primary	60	6	0	False	custom_score	0.1	319	319	0	0	207	0.6489028213166145	0.6489028213166145	0.5472351591121946
primary	61	6	1	False	custom_score	0.1	321	321	0	0	204	0.6355140186915887	0.6355140186915887	0.5352715822675854
primary	62	6	2	False	custom_score	0.1	309	309	0	0	86	0.2783171521035599	0.2783171521035599	-0.5557798015504292
primary	63	6	3	False	custom_score	0.1	310	310	0	0	138	0.4451612903225806	0.4451612903225806	-0.1245453780114615
primary	64	6	4	False	custom_score	0.1	321	321	0	0	236	0.735202492211838	0.735202492211838	0.6590039725075413
primary	65	6	5	False	custom_score	0.1	309	309	0	0	103	0.3333333333333333	0.3333333333333333	-0.5397524495044862
primary	66	6	6	False	custom_score	0.1	308	308	0	0	192	0.6233766233766234	0.6233766233766234	0.2626586028146269
primary	67	6	7	False	custom_score	0.1	307	307	0	0	100	0.3257328990228013	0.3257328990228013	-0.5268622903125134
primary	68	6	8	False	custom_score	0.1	310	310	0	0	188	0.6064516129032258	0.6064516129032258	0.2224754557498579
primary	69	6	9	False	custom_score	0.1	320	320	0	0	98	0.30625	0.30625	-0.6235782863318283
primary	70	7	0	False	custom_score	0.1	316	316	0	0	109	0.3449367088607595	0.3449367088607595	-0.5596369595984355
primary	71	7	1	False	custom_score	0.1	318	318	0	0	110	0.3459119496855345	0.3459119496855345	-0.5764981104644111
primary	72	7	2	False	custom_score	0.1	306	306	0	0	214	0.6993464052287581	0.6993464052287581	0.515946361591026
primary	73	7	3	False	custom_score	0.1	307	307	0	0	154	0.501628664495114	0.501628664495114	0.0663661219466422
primary	74	7	4	False	custom_score	0.1	318	318	0	0	84	0.2641509433962264	0.2641509433962264	-0.6646855183619125
primary	75	7	5	False	custom_score	0.1	306	306	0	0	210	0.6862745098039216	0.6862745098039216	0.5809287797588635
primary	76	7	6	False	custom_score	0.1	305	305	0	0	118	0.3868852459016393	0.3868852459016393	-0.1938988127651484
primary	77	7	7	False	custom_score	0.1	304	304	0	0	196	0.6447368421052632	0.6447368421052632	0.5079040287171488
primary	78	7	8	False	custom_score	0.1	307	307	0	0	113	0.3680781758957654	0.3680781758957654	-0.2093000204257049
primary	79	7	9	False	custom_score	0.1	317	317	0	0	219	0.6908517350157729	0.6908517350157729	0.6473374564310624
primary	80	8	0	False	custom_score	0.1	313	313	0	0	82	0.2619808306709265	0.2619808306709265	-0.6509963580067792
primary	81	8	1	False	custom_score	0.1	314	314	0	0	77	0.2452229299363057	0.2452229299363057	-0.6648248654406255
primary	82	8	2	False	custom_score	0.1	303	303	0	0	151	0.4983498349834983	0.4983498349834983	0.2382391746182249
primary	83	8	3	False	custom_score	0.1	303	303	0	0	125	0.4125412541254125	0.4125412541254125	-0.1149637976637851
primary	84	8	4	False	custom_score	0.1	315	315	0	0	111	0.3523809523809524	0.3523809523809524	-0.5311832258676331
primary	85	8	5	False	custom_score	0.1	302	302	0	0	216	0.7152317880794702	0.7152317880794702	0.5939723998213721
primary	86	8	6	False	custom_score	0.1	302	302	0	0	172	0.5695364238410596	0.5695364238410596	0.0378447027044689
primary	87	8	7	False	custom_score	0.1	301	301	0	0	194	0.6445182724252492	0.6445182724252492	0.544626860713045
primary	88	8	8	False	custom_score	0.1	303	303	0	0	174	0.5742574257425742	0.5742574257425742	0.0607809713903513
primary	89	8	9	False	custom_score	0.1	314	314	0	0	222	0.7070063694267515	0.7070063694267515	0.6605153994221488
primary	90	9	0	False	custom_score	0.1	317	317	0	0	89	0.2807570977917981	0.2807570977917981	-0.6309934894987206
primary	91	9	1	False	custom_score	0.1	318	318	0	0	91	0.2861635220125786	0.2861635220125786	-0.6323430577152648
primary	92	9	2	False	custom_score	0.1	307	307	0	0	185	0.6026058631921825	0.6026058631921825	0.3264718171930519
primary	93	9	3	False	custom_score	0.1	307	307	0	0	131	0.4267100977198697	0.4267100977198697	-0.0699672670303202
primary	94	9	4	False	custom_score	0.1	319	319	0	0	102	0.3197492163009404	0.3197492163009404	-0.5701180668728314
primary	95	9	5	False	custom_score	0.1	306	306	0	0	211	0.6895424836601307	0.6895424836601307	0.5989491106893184
primary	96	9	6	False	custom_score	0.1	306	306	0	0	147	0.4803921568627451	0.4803921568627451	-0.048156964968681
