Package	Version	Library
methods	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
mime	0.13	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
network	1.20.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
otel	0.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
parallel	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
parallelly	1.48.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
patchwork	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
pbapply	1.7.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
pillar	1.11.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
pkgconfig	2.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
plyr	1.8.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
png	0.1.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
promises	1.5.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
purrr	1.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
registry	0.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
reshape2	1.4.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
reticulate	1.47.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
rjson	0.2.23	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
rlang	1.3.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
rngtools	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
rstatix	1.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
sass	0.4.10	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
scales	1.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
shape	1.4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
shiny	1.14.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
sna	2.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
statnet.common	4.13.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
stats	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
stats4	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
stringi	1.8.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
stringr	1.6.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
svglite	2.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
systemfonts	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
textshaping	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary
tibble	3.3.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
tidyr	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
tidyselect	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
tools	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
utils	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library
vctrs	0.7.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
withr	3.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
xtable	1.8.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
