Package	Version	archive_path	original_url	bytes	sha256	md5
ggsignif	0.6.4	binaries/ggsignif_0.6.4.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/ggsignif_0.6.4.zip	606699	055a6f470b93ccb07dd86ce9fbdd3d18b7aa2393b0250a6a54e8acefcf41329a	d7bec95d70a7ee7498ca52c393758ad5
gridBase	0.4-7	binaries/gridBase_0.4-7.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/gridBase_0.4-7.zip	166563	7953add61a5e1af27bfe3c29822c108a93160e4d4b94e9ef62f59ff3bb24f3c2	0502011c3490fb2df3a1514ab5d23193
lme4	2.0-6	binaries/lme4_2.0-6.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/lme4_2.0-6.zip	5839593	cc0277edcc99865d577cd813fa855129465242f907253d25daed1fecb5f446c4	5ee67ca23f80ee9679d7c87cd219d45d
minqa	1.2.8	binaries/minqa_1.2.8.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/minqa_1.2.8.zip	459223	82fef2fbe5233bd314ae633571b7933aa1bdaf4562bd656e2a6af286363ba985	4f6017bb088eb7693fbefe66c6804612
modelr	0.1.11	binaries/modelr_0.1.11.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/modelr_0.1.11.zip	207084	8fcd9bb218d6dd1be42c93bd15a266d2b634addc32a1c33585f8ed5d7ade33ee	91427525ee9f22398e0f464146f90853
network	1.20.0	binaries/network_1.20.0.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/network_1.20.0.zip	843834	aa87fc1e4510e4e23ff781147ca24951f047695ce82293d272df0507fc8c80e8	e03ec3901b576126c720c601d7624d7e
nloptr	2.2.1	binaries/nloptr_2.2.1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/nloptr_2.2.1.zip	907622	05db95565e04a00363a6c3690b3410ba17b8e14513770b08e289aa03c5923a8c	a0bd76017abc69694030659ee80825c7
pbkrtest	0.5.5	binaries/pbkrtest_0.5.5.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/pbkrtest_0.5.5.zip	230133	f341cd3ca84b4449e1e06ad78ef15203aafec46e37d3ea7ebf4b11a2aa86d394	2cdf1eabaf0d7b6a738c331c50b0ed64
polynom	1.4-1	binaries/polynom_1.4-1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/polynom_1.4-1.zip	407610	d6a882ce1a4d14aa7fd97b220888906c258ef1a5d5bc3ddd169ab22e3164caaa	3995d6768a5c5a4ed74210b5a2d509b7
quantreg	6.1	binaries/quantreg_6.1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/quantreg_6.1.zip	1474781	cc7e8792970f1244da737e00f52400cf3f349b3517ef15d55264dd4cea31c5c9	9183a6d18c0be1e8dde171437b61bbc6
rbibutils	2.4.1	binaries/rbibutils_2.4.1.zip	https://cloud.r-project.org/bin/windows/contrib/4.6/rbibutils_2.4.1.zip	1040988	397712fa1db03dc75b890fa5df756f218b8a36fa05afe75abecbdb957a3558ac	d71fbde1ee5e5325eddf9c0039027cf0
