dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Spp1	0.9124513618677013	0.9124513618677013	0.4143968871595318	5.789883268482482	1.493052361685146	1.8464943183547442	1.1855395035238083
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Timp3	0.5544747081712045	0.5544747081712045	0.24708171206225615	1.0194552529182854	0.8491125304000474	0.8661149517368019	0.8386553807890271
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Ptn	0.8715953307392967	0.8715953307392967	0.7490272373540832	7.058365758754844	6.693120808441032	2.304246138639069	2.34914984537923
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Plat	0.3424124513618667	0.3424124513618667	0.12840466926070015	0.9260700389105044	0.5434306251404908	0.5708895731296483	0.48004236501815917
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Ptprz1	0.7879377431906589	0.7879377431906589	0.4883268482490257	2.099221789883263	1.974432534150375	1.4253206436559964	1.4662662986075328
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Lrp1	0.4182879377431894	0.4182879377431894	0.10311284046692593	0.6031128404669246	0.52187378581457	0.5814652708370942	0.5937785864243897
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Itga5	0.07003891050583655	0.07003891050583655	0.005836575875486381	0.08171206225680927	0.053370745664878	0.08404368901453213	0.07609130704225524
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Itgb1	0.23151750972762586	0.23151750972762586	0.048638132295719845	0.3346303501945519	0.20388544678956735	0.30143508670440644	0.25345935771966166
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Col4a1	0.1945525291828789	0.1945525291828789	0.021400778210116732	0.25875486381322915	0.1564706297790177	0.2537374659806088	0.21347973378870413
GSE174574	GSM5319992	MCAO	primary	Astrocyte	Itga3	0.013618677042801557	0.013618677042801557	0.0	0.013618677042801557	0.0065742451645895835	0.012127763021603021	0.008694208470631102
GSE174574	GSM5319992	MCAO	primary	Endothelial	Slc1a2	0.1932989690721644	0.1932989690721644	0.025773195876288672	0.24613402061855602	0.16117411301044132	0.2836227229248748	0.23908355435605583
GSE174574	GSM5319992	MCAO	primary	Endothelial	Slc1a3	0.09858247422680391	0.09858247422680391	0.0019329896907216496	0.11082474226804102	0.046561438413041556	0.13172775293397598	0.08280316579186371
GSE174574	GSM5319992	MCAO	primary	Endothelial	Aldh1l1	0.009664948453608248	0.009664948453608248	0.0	0.009664948453608248	0.006203296384464136	0.011926902357586956	0.009630561456541424
GSE174574	GSM5319992	MCAO	primary	Endothelial	Pecam1	0.8672680412371105	0.8672680412371105	0.6005154639175239	2.3775773195876466	2.365617087926775	1.7788501920885884	1.8260952859085589
GSE174574	GSM5319992	MCAO	primary	Endothelial	Cdh5	0.6945876288659771	0.6945876288659771	0.2873711340206177	1.1771907216494808	1.1684202821162184	1.16103728733941	1.1955714669811366
GSE174574	GSM5319992	MCAO	primary	Endothelial	Kdr	0.5405927835051529	0.5405927835051529	0.19201030927834997	0.8305412371133994	0.821082356215181	0.8795617067877232	0.9044140792552862
GSE174574	GSM5319992	MCAO	primary	Endothelial	Ptprc	0.0393041237113402	0.0393041237113402	0.0	0.0393041237113402	0.01764165576752638	0.05192918657505194	0.03301262630919396
GSE174574	GSM5319992	MCAO	primary	Endothelial	Tyrobp	0.38981958762886476	0.38981958762886476	0.008376288659793816	0.5882731958762869	0.17643813928043967	0.5977228948575133	0.28658904049924033
GSE174574	GSM5319992	MCAO	primary	Endothelial	C1qa	0.6443298969072144	0.6443298969072144	0.08054123711340191	1.1978092783505119	0.413460318204132	1.1138695536169378	0.6556905574869525
GSE174574	GSM5319992	MCAO	primary	Endothelial	Lyz2	0.4059278350515451	0.4059278350515451	0.0019329896907216496	0.7519329896907199	0.18791059372225913	0.6237540031214669	0.01037517562466954
GSE174574	GSM5319992	MCAO	primary	Endothelial	Spp1	0.8795103092783476	0.8795103092783476	0.0663659793814432	2.548324742268077	0.4762552039677957	1.800467084368693	0.7897194610228749
GSE174574	GSM5319992	MCAO	primary	Endothelial	Timp3	0.6050257731958744	0.6050257731958744	0.3563144329896896	1.9529639175257674	1.9099729521471358	1.2393943511858805	1.2644384090206382
GSE174574	GSM5319992	MCAO	primary	Endothelial	Ptn	0.4735824742268026	0.4735824742268026	0.27126288659793735	1.222293814432986	1.156506009140674	0.937150208875371	0.939700617868262
GSE174574	GSM5319992	MCAO	primary	Endothelial	Plat	0.8195876288659767	0.8195876288659767	0.6230670103092764	3.6417525773196475	3.6093565516611594	1.9559818055066376	1.9955152840576316
GSE174574	GSM5319992	MCAO	primary	Endothelial	Ptprz1	0.04768041237113398	0.04768041237113398	0.001288659793814433	0.050257731958762854	0.03390408914038519	0.06589110609176597	0.05569956276454235
GSE174574	GSM5319992	MCAO	primary	Endothelial	Lrp1	0.06829896907216484	0.06829896907216484	0.0019329896907216496	0.07409793814432979	0.04915470626115194	0.09199230535209228	0.07784023393405068
GSE174574	GSM5319992	MCAO	primary	Endothelial	Itga5	0.1249999999999997	0.1249999999999997	0.014819587628865975	0.14432989690721615	0.12777936463808104	0.1605505925309787	0.15849272785212906
GSE174574	GSM5319992	MCAO	primary	Endothelial	Itgb1	0.5199742268041221	0.5199742268041221	0.21327319587628804	0.9207474226804094	0.882265454654797	0.8471237228271642	0.8587544731973267
