dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319988	Astrocyte	primary	Tmem119	370	0.23243243243243245	0.4081081081081081
GSE174574	GSM5319988	Astrocyte	primary	Spp1	370	0.010810810810810811	0.010810810810810811
GSE174574	GSM5319988	Astrocyte	primary	Cd14	370	0.06756756756756757	0.08378378378378379
GSE174574	GSM5319988	Astrocyte	primary	Timp1	370	0.005405405405405406	0.005405405405405406
GSE174574	GSM5319988	Astrocyte	primary	Cd63	370	0.8675675675675676	4.891891891891892
GSE174574	GSM5319988	Astrocyte	primary	Ptn	370	0.9216216216216216	8.178378378378378
GSE174574	GSM5319988	Astrocyte	primary	Ptprb	370	0.20540540540540542	0.2891891891891892
GSE174574	GSM5319988	Astrocyte	primary	S1pr1	370	0.7675675675675676	1.8405405405405406
GSE174574	GSM5319988	Astrocyte	strict_identity	Aldh1l1	331	0.3716012084592145	0.486404833836858
GSE174574	GSM5319988	Astrocyte	strict_identity	Slc1a2	331	0.9395770392749244	7.716012084592145
GSE174574	GSM5319988	Astrocyte	strict_identity	Slc1a3	331	0.9667673716012085	9.561933534743202
GSE174574	GSM5319988	Astrocyte	strict_identity	Glul	331	0.9909365558912386	16.24773413897281
GSE174574	GSM5319988	Astrocyte	strict_identity	Sox9	331	0.6918429003021148	1.5709969788519638
GSE174574	GSM5319988	Astrocyte	strict_identity	Pecam1	331	0.12386706948640483	0.1782477341389728
GSE174574	GSM5319988	Astrocyte	strict_identity	Cdh5	331	0.0755287009063444	0.08761329305135952
GSE174574	GSM5319988	Astrocyte	strict_identity	Kdr	331	0.0755287009063444	0.08761329305135952
GSE174574	GSM5319988	Astrocyte	strict_identity	Ptprc	331	0.021148036253776436	0.021148036253776436
GSE174574	GSM5319988	Astrocyte	strict_identity	Tyrobp	331	0.31722054380664655	0.5861027190332326
GSE174574	GSM5319988	Astrocyte	strict_identity	Lyz2	331	0.29003021148036257	0.4622356495468278
GSE174574	GSM5319988	Astrocyte	strict_identity	C1qa	331	0.6102719033232629	1.7734138972809668
GSE174574	GSM5319988	Astrocyte	strict_identity	P2ry12	331	0.3323262839879154	0.6072507552870091
GSE174574	GSM5319988	Astrocyte	strict_identity	Tmem119	331	0.23867069486404835	0.4350453172205438
GSE174574	GSM5319988	Astrocyte	strict_identity	Spp1	331	0.012084592145015106	0.012084592145015106
GSE174574	GSM5319988	Astrocyte	strict_identity	Cd14	331	0.06948640483383686	0.08761329305135952
GSE174574	GSM5319988	Astrocyte	strict_identity	Timp1	331	0.006042296072507553	0.006042296072507553
GSE174574	GSM5319988	Astrocyte	strict_identity	Cd63	331	0.9365558912386707	5.3444108761329305
GSE174574	GSM5319988	Astrocyte	strict_identity	Ptn	331	0.9546827794561934	8.830815709969789
GSE174574	GSM5319988	Astrocyte	strict_identity	Ptprb	331	0.1691842900302115	0.22054380664652568
GSE174574	GSM5319988	Astrocyte	strict_identity	S1pr1	331	0.8036253776435045	1.972809667673716
GSE174574	GSM5319988	Endothelial	primary	Aldh1l1	1360	0.0058823529411764705	0.0058823529411764705
GSE174574	GSM5319988	Endothelial	primary	Slc1a2	1360	0.060294117647058824	0.061764705882352944
GSE174574	GSM5319988	Endothelial	primary	Slc1a3	1360	0.06470588235294118	0.06764705882352941
GSE174574	GSM5319988	Endothelial	primary	Glul	1360	0.8448529411764706	4.205147058823529
GSE174574	GSM5319988	Endothelial	primary	Sox9	1360	0.03823529411764706	0.03897058823529412
GSE174574	GSM5319988	Endothelial	primary	Pecam1	1360	0.8029411764705883	1.527205882352941
GSE174574	GSM5319988	Endothelial	primary	Cdh5	1360	0.6764705882352942	1.036029411764706
GSE174574	GSM5319988	Endothelial	primary	Kdr	1360	0.649264705882353	1.0691176470588235
GSE174574	GSM5319988	Endothelial	primary	Ptprc	1360	0.013970588235294118	0.013970588235294118
GSE174574	GSM5319988	Endothelial	primary	Tyrobp	1360	0.22205882352941175	0.2566176470588235
GSE174574	GSM5319988	Endothelial	primary	Lyz2	1360	0.25	0.29705882352941176
GSE174574	GSM5319988	Endothelial	primary	C1qa	1360	0.5102941176470588	0.7492647058823529
GSE174574	GSM5319988	Endothelial	primary	P2ry12	1360	0.19191176470588237	0.20661764705882352
GSE174574	GSM5319988	Endothelial	primary	Tmem119	1360	0.17058823529411765	0.18676470588235294
GSE174574	GSM5319988	Endothelial	primary	Spp1	1360	0.010294117647058823	0.010294117647058823
GSE174574	GSM5319988	Endothelial	primary	Cd14	1360	0.04852941176470588	0.058823529411764705
GSE174574	GSM5319988	Endothelial	primary	Timp1	1360	0.009558823529411765	0.009558823529411765
GSE174574	GSM5319988	Endothelial	primary	Cd63	1360	0.14338235294117646	0.16323529411764706
GSE174574	GSM5319988	Endothelial	primary	Ptn	1360	0.7301470588235294	2.5161764705882352
GSE174574	GSM5319988	Endothelial	primary	Ptprb	1360	0.6551470588235294	1.3801470588235294
GSE174574	GSM5319988	Endothelial	primary	S1pr1	1360	0.5066176470588235	0.8139705882352941
GSE174574	GSM5319988	Endothelial	strict_identity	Aldh1l1	729	0.0054869684499314125	0.0054869684499314125
GSE174574	GSM5319988	Endothelial	strict_identity	Slc1a2	729	0.06172839506172839	0.06310013717421124
GSE174574	GSM5319988	Endothelial	strict_identity	Slc1a3	729	0.06310013717421124	0.06721536351165981
GSE174574	GSM5319988	Endothelial	strict_identity	Glul	729	0.8491083676268861	3.731138545953361
GSE174574	GSM5319988	Endothelial	strict_identity	Sox9	729	0.038408779149519894	0.039780521262002745
GSE174574	GSM5319988	Endothelial	strict_identity	Pecam1	729	0.840877914951989	1.6502057613168724
GSE174574	GSM5319988	Endothelial	strict_identity	Cdh5	729	0.7434842249657064	1.1522633744855968
GSE174574	GSM5319988	Endothelial	strict_identity	Kdr	729	0.7119341563786008	1.2222222222222223
GSE174574	GSM5319988	Endothelial	strict_identity	Ptprc	729	0.012345679012345678	0.012345679012345678
GSE174574	GSM5319988	Endothelial	strict_identity	Tyrobp	729	0.22359396433470508	0.262002743484225
GSE174574	GSM5319988	Endothelial	strict_identity	Lyz2	729	0.25925925925925924	0.3168724279835391
GSE174574	GSM5319988	Endothelial	strict_identity	C1qa	729	0.5171467764060357	0.766803840877915
GSE174574	GSM5319988	Endothelial	strict_identity	P2ry12	729	0.19478737997256515	0.2112482853223594
GSE174574	GSM5319988	Endothelial	strict_identity	Tmem119	729	0.16872427983539096	0.18381344307270234
GSE174574	GSM5319988	Endothelial	strict_identity	Spp1	729	0.0054869684499314125	0.0054869684499314125
GSE174574	GSM5319988	Endothelial	strict_identity	Cd14	729	0.05212620027434842	0.0644718792866941
GSE174574	GSM5319988	Endothelial	strict_identity	Timp1	729	0.012345679012345678	0.012345679012345678
GSE174574	GSM5319988	Endothelial	strict_identity	Cd63	729	0.14266117969821673	0.1700960219478738
GSE174574	GSM5319988	Endothelial	strict_identity	Ptn	729	0.7283950617283951	2.459533607681756
GSE174574	GSM5319988	Endothelial	strict_identity	Ptprb	729	0.6707818930041153	1.5267489711934157
GSE174574	GSM5319988	Endothelial	strict_identity	S1pr1	729	0.5116598079561042	0.8491083676268861
GSE174574	GSM5319989	Astrocyte	primary	Aldh1l1	463	0.32181425485961124	0.39092872570194387
GSE174574	GSM5319989	Astrocyte	primary	Slc1a2	463	0.8920086393088553	7.6501079913606915
GSE174574	GSM5319989	Astrocyte	primary	Slc1a3	463	0.8984881209503239	8.645788336933045
GSE174574	GSM5319989	Astrocyte	primary	Glul	463	0.9913606911447084	15.658747300215984
GSE174574	GSM5319989	Astrocyte	primary	Sox9	463	0.6544276457883369	1.2526997840172787
GSE174574	GSM5319989	Astrocyte	primary	Pecam1	463	0.19222462203023757	0.326133909287257
GSE174574	GSM5319989	Astrocyte	primary	Cdh5	463	0.15550755939524838	0.1900647948164147
