Package	Version	LibPath	Built	Priority	RemoteSha
rbibutils	2.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:01 UTC; windows		
reformulas	0.4.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 02:20:45 UTC; windows		
registry	0.5-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-08-19 11:48:59 UTC; windows		
rngtools	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 00:57:05 UTC; windows		
rstatix	1.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-09-09 04:53:39 UTC; windows		
sna	2.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:21:04 UTC; windows		
statnet.common	4.13.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:29 UTC; windows		
svglite	2.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:57 UTC; windows		
systemfonts	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:20:59 UTC; windows		
textshaping	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:26 UTC; windows		
timeDate	4052.112	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; ; 2026-08-23 00:53:23 UTC; windows		
urca	1.3-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 02:33:29 UTC; windows		
BH	1.90.0-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:54 UTC; windows		
Biobase	2.72.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:50:27 UTC; windows		65ae7a98395e50568bfb7a6b6367dcd967d89e1a
BiocGenerics	0.58.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-05-14 10:20:17 UTC; windows		995c7b312290a0776eb7c575b88d6c4d3f8d7524
BiocManager	1.30.27	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:59:28 UTC; windows		
BiocNeighbors	2.6.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-10 09:38:36 UTC; windows		221e565acfb3d54d1cf86c69b4cb72a78c9e9cc5
BiocParallel	1.46.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 15:02:21 UTC; windows		a331dfd2695daec754304505bdbd7358eef009fa
BiocSingular	1.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 13:02:33 UTC; windows		675ff544b7bab511b17d6b52ef390815b4aa3bc0
BiocVersion	3.23.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-03-01 08:32:11 UTC; windows		252d7c8f03a39a9b83f6de7e9dbf9a5ee6584365
ComplexHeatmap	2.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-05-01 09:32:49 UTC; windows		ceecd5f835393e97d5902ceaabca6e66bd648263
DelayedArray	0.38.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-05-26 21:59:34 UTC; windows		63285a4ab9f3b74c894e5f709e9cde408fca78c0
FNN	1.1.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:22 UTC; windows		
GenomicRanges	1.64.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; ; 2026-04-29 15:12:33 UTC; windows		ac531f1ce56cc9119075d1c6862c68ad33f98536
GetoptLong	1.1.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:10:17 UTC; windows		
GlobalOptions	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:49 UTC; windows		
IRanges	2.46.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:31:00 UTC; windows		db589cc82f235a7be2d5f2bc6971af1fa2fd03b5
MCMCprecision	0.4.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:13:14 UTC; windows		
