Package	Version	LibPath	Built	Priority	RemoteSha
ggdendro	0.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:41:16 UTC; windows		
ggplot2	4.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:25 UTC; windows		
ggrepel	0.9.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:57 UTC; windows		
ggridges	0.5.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:04:05 UTC; windows		
globals	0.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 12:58:27 UTC; windows		
glue	1.8.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
goftest	1.2-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:37 UTC; windows		
gplots	3.3.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:56:08 UTC; windows		
gridExtra	2.3.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:22 UTC; windows		
gtable	0.3.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:45 UTC; windows		
gtools	3.9.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:41 UTC; windows		
here	1.0.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:56 UTC; windows		
highr	0.12	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:56 UTC; windows		
htmltools	0.5.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:56 UTC; windows		
htmlwidgets	1.6.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:20:06 UTC; windows		
httpuv	1.6.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:24 UTC; windows		
httr	1.4.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:25 UTC; windows		
ica	1.0-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:47:21 UTC; windows		
igraph	2.3.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:21:13 UTC; windows		
inline	0.3.21	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:57:26 UTC; windows		
irlba	2.3.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:35 UTC; windows		
isoband	0.3.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:54 UTC; windows		
iterators	1.0.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:05 UTC; windows		
jquerylib	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:47 UTC; windows		
jsonlite	2.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
knitr	1.52	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:57 UTC; windows		
labeling	0.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:07 UTC; windows		
lambda.r	1.2.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:57:56 UTC; windows		
later	1.4.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:53 UTC; windows		
lazyeval	0.2.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:57 UTC; windows		
lifecycle	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:53 UTC; windows		
limma	3.68.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 09:27:06 UTC; windows		825d1c8330d024adb6c54af66d79b0f4ec258530
listenv	1.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:41 UTC; windows		
lmtest	0.9-40	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:20:47 UTC; windows		
locfit	1.5-9.12	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:56 UTC; windows		
loo	2.10.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:21:39 UTC; windows		
magrittr	2.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
matrixStats	1.5.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:36 UTC; windows		
memoise	2.0.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:48 UTC; windows		
metapod	1.20.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 13:50:48 UTC; windows		fccdc7f39efed41fe3f95a48e2141adb914e74d2
mime	0.13	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:07 UTC; windows		
miniUI	0.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:20:08 UTC; windows		
numDeriv	2016.8-1.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:08 UTC; windows		
openssl	2.4.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:21:03 UTC; windows		
otel	0.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:04 UTC; windows		
pROC	1.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 01:28:32 UTC; windows		
parallelly	1.48.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:41 UTC; windows		
patchwork	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:03:58 UTC; windows		
pbapply	1.7-5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:39 UTC; windows		
pheatmap	1.0.13	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:23:58 UTC; windows		
pillar	1.11.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:23 UTC; windows		
pkgbuild	1.4.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:26 UTC; windows		
pkgconfig	2.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:02 UTC; windows		
plotly	4.12.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 04:12:12 UTC; windows		
plyr	1.8.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 02:33:29 UTC; windows		
png	0.1-9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:52 UTC; windows		
polyclip	1.10-7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:47:28 UTC; windows		
posterior	1.7.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:05:08 UTC; windows		
processx	3.9.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:58 UTC; windows		
progressr	1.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:41 UTC; windows		
promises	1.5.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:50 UTC; windows		
ps	1.9.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:50 UTC; windows		
purrr	1.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 03:15:05 UTC; windows		
rappdirs	0.3.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
reshape2	1.4.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:47 UTC; windows		
reticulate	1.47.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:24 UTC; windows		
rjson	0.2.23	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:49:25 UTC; windows		
rlang	1.3.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
rmarkdown	2.32	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:03:43 UTC; windows		
rprojroot	2.1.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:04 UTC; windows		
rstan	2.32.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:39:35 UTC; windows		
rstantools	2.7.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:56:47 UTC; windows		
rsvd	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:59:15 UTC; windows		
sass	0.4.10	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:20:49 UTC; windows		
scales	1.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:47 UTC; windows		
scater	1.40.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-06-30 13:37:27 UTC; windows		ca4fc15bb520ebbc7dd3a889217209061c68f3af
scattermore	1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:42:11 UTC; windows		
scran	1.40.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-30 09:16:49 UTC; windows		24a6fe7a83a1b6a0e85c2856c2d39b767b4597fd
sctransform	0.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:22:52 UTC; windows		
scuttle	1.22.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-02 09:50:48 UTC; windows		d56a81e414939eefecd55ec68712a4be3d6858ab
shape	1.4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:34 UTC; windows		
shiny	1.14.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:03:41 UTC; windows		
sitmo	2.0.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:59:57 UTC; windows		
snow	0.4-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:46:37 UTC; windows		
sourcetools	0.1.7-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
sp	2.2-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:55 UTC; windows		
spam	2.11-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:00 UTC; windows		
spatstat.data	3.1-9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:56:05 UTC; windows		
spatstat.explore	3.8-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:04:39 UTC; windows		
spatstat.geom	3.8-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:21:20 UTC; windows		
spatstat.random	3.5-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:40:33 UTC; windows		
spatstat.sparse	3.2-0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:05 UTC; windows		
spatstat.univar	3.2-0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:56:05 UTC; windows		
spatstat.utils	3.2-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:05 UTC; windows		
statmod	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:03 UTC; windows		
stringi	1.8.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:22 UTC; windows		
stringr	1.6.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:23 UTC; windows		
sys	3.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:07 UTC; windows		
tensor	1.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:47:30 UTC; windows		
tensorA	0.36.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:49:22 UTC; windows		
tibble	3.3.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:03:39 UTC; windows		
tidyr	1.3.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:39:19 UTC; windows		
tidyselect	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:22 UTC; windows		
tinytex	0.60	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:56 UTC; windows		
utf8	1.2.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
uwot	0.2.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:42:22 UTC; windows		
vctrs	0.7.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 02:52:27 UTC; windows		
vipor	0.4.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:00:03 UTC; windows		
viridis	0.6.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:03:57 UTC; windows		
viridisLite	0.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:02 UTC; windows		
withr	3.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:02 UTC; windows		
xfun	0.60	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:30 UTC; windows		
xtable	1.8-8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:04 UTC; windows		
yaml	2.3.12	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:31 UTC; windows		
zoo	1.9-0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 02:33:29 UTC; windows		
KernSmooth	2.23-26	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:40 UTC; windows	recommended	
MASS	7.3-65	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:25 UTC; windows	recommended	
Matrix	1.7-5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:58 UTC; windows	recommended	
base	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:20:51 UTC; windows	base	
boot	1.3-32	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:32:04 UTC; windows	recommended	
class	7.3-23	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:04 UTC; windows	recommended	
cluster	2.1.8.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:11 UTC; windows	recommended	
codetools	0.2-20	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:32:25 UTC; windows	recommended	
compiler	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:14:21 UTC; windows	base	
datasets	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:19:02 UTC; windows	base	
foreign	0.8-91	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:28 UTC; windows	recommended	
grDevices	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:14 UTC; windows	base	
graphics	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:56 UTC; windows	base	
grid	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:46 UTC; windows	base	
lattice	0.22-9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:40 UTC; windows	recommended	
methods	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:12 UTC; windows	base	
mgcv	1.9-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:21 UTC; windows	recommended	
nlme	3.1-169	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:30:23 UTC; windows	recommended	
nnet	7.3-20	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:09 UTC; windows	recommended	
parallel	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:30 UTC; windows	base	
rpart	4.1.27	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:48 UTC; windows	recommended	
spatial	7.3-18	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:14 UTC; windows	recommended	
splines	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:12 UTC; windows	base	
stats	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:17:23 UTC; windows	base	
stats4	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; ; 2026-06-24 08:20:17 UTC; windows	base	
survival	3.8-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:30:55 UTC; windows	recommended	
tcltk	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:20 UTC; windows	base	
tools	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:14:19 UTC; windows	base	
utils	4.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library	R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:15:23 UTC; windows	base	
