"source_genesymbol","target_genesymbol","resource"
"Cd40lg","Itga5_Itgb1","mouseconsensus"
"Cd40lg","Cd40","mouseconsensus"
"L1cam","Itgav_Itgb3","mouseconsensus"
"L1cam","Itga5_Itgb1","mouseconsensus"
"L1cam","Itga4_Itgb7","mouseconsensus"
"L1cam","Egfr","mouseconsensus"
"L1cam","Erbb2","mouseconsensus"
"L1cam","Fgfr2","mouseconsensus"
"L1cam","Erbb3","mouseconsensus"
"L1cam","Ptprz1","mouseconsensus"
"L1cam","Ephb2","mouseconsensus"
"L1cam","Cntn1","mouseconsensus"
"Cd80","Cd28","mouseconsensus"
"Cd80","Ctla4","mouseconsensus"
"Sdc2","Ptprj","mouseconsensus"
"Btc","Egfr_Erbb2","mouseconsensus"
"Btc","Erbb2_Erbb4","mouseconsensus"
"Btc","Erbb3","mouseconsensus"
"Cd200","Cd200r1","mouseconsensus"
"Cd86","Cd28","mouseconsensus"
"Cd86","Ctla4","mouseconsensus"
"Gdf5","Acvr2a_Bmpr1b","mouseconsensus"
"Gdf5","Acvr2b_Bmpr1b","mouseconsensus"
"Gdf5","Bmpr1b_Bmpr2","mouseconsensus"
"Gdf5","Acvr2a_Bmpr1a","mouseconsensus"
"Gdf5","Acvr2b_Bmpr1a","mouseconsensus"
"Gdf5","Bmpr1a_Bmpr2","mouseconsensus"
"Gdf5","Ror2","mouseconsensus"
"Gdf5","Acvr1","mouseconsensus"
"Fasl","Tnfrsf1a","mouseconsensus"
"Fasl","Fas","mouseconsensus"
"Flt3l","Flt3","mouseconsensus"
"Tnfsf10","Tnfrsf10b","mouseconsensus"
"Tnfsf10","Tnfrsf11b","mouseconsensus"
"Efna4","Epha1","mouseconsensus"
"Efna4","Epha2","mouseconsensus"
"Efna4","Epha3","mouseconsensus"
"Efna4","Epha8","mouseconsensus"
"Efna4","Epha5","mouseconsensus"
"Efna4","Epha4","mouseconsensus"
"Efna4","Epha7","mouseconsensus"
"Efna4","Epha10","mouseconsensus"
"Efna4","Epha6","mouseconsensus"
"Efnb2","Ephb6","mouseconsensus"
"Efnb2","Pecam1","mouseconsensus"
"Efnb2","Epha3","mouseconsensus"
"Efnb2","Ephb2","mouseconsensus"
"Efnb2","Grm5","mouseconsensus"
"Efnb2","Ephb3","mouseconsensus"
"Efnb2","Ephb4","mouseconsensus"
"Efnb2","Ephb1","mouseconsensus"
"Efnb2","Epha4","mouseconsensus"
"Efnb2","Grm1","mouseconsensus"
"Efnb2","Epha6","mouseconsensus"
"Efna5","Ephb6","mouseconsensus"
"Efna5","Epha1","mouseconsensus"
"Efna5","Epha2","mouseconsensus"
"Efna5","Epha3","mouseconsensus"
"Efna5","Epha8","mouseconsensus"
"Efna5","Ephb2","mouseconsensus"
"Efna5","Epha5","mouseconsensus"
"Efna5","Ephb1","mouseconsensus"
"Efna5","Epha4","mouseconsensus"
"Efna5","Epha7","mouseconsensus"
"Efna5","Epha10","mouseconsensus"
"Efna5","Epha6","mouseconsensus"
"Nrg3","Erbb2_Erbb4","mouseconsensus"
"Nrg3","Erbb3","mouseconsensus"
"Jam2","Itgav_Itgb1","mouseconsensus"
"Jam2","Itga4_Itgb1","mouseconsensus"
"Jam2","Itga3_Itgb1","mouseconsensus"
"Nrxn1","Nlgn1","mouseconsensus"
"Nrxn1","Nlgn2","mouseconsensus"
"Nrxn1","Nlgn3","mouseconsensus"
"Nrxn2","Nlgn1","mouseconsensus"
"Nrxn2","Nlgn2","mouseconsensus"
"Nrxn2","Nlgn3","mouseconsensus"
"B2m","Tfrc","mouseconsensus"
"B2m","Cd3d","mouseconsensus"
"B2m","Cd3g","mouseconsensus"
"B2m","Cd247","mouseconsensus"
"B2m","Klrc1","mouseconsensus"
"B2m","Klrd1","mouseconsensus"
"Sirpa","Cd47","mouseconsensus"
"Jag1","Cd46","mouseconsensus"
"Jag1","Notch1","mouseconsensus"
"Jag1","Notch2","mouseconsensus"
"Jag1","Notch4","mouseconsensus"
"Jag1","Notch3","mouseconsensus"
"Adam17","Itgb1","mouseconsensus"
"Adam17","Met","mouseconsensus"
"Adam17","Itga5","mouseconsensus"
"Adam17","Il6ra","mouseconsensus"
"Adam17","Notch1","mouseconsensus"
"Adam17","Erbb4","mouseconsensus"
"Adam17","Rhbdf2","mouseconsensus"
"Dlk1","Notch1","mouseconsensus"
"Dlk1","Notch2","mouseconsensus"
"Dlk1","Notch4","mouseconsensus"
"Dlk1","Notch3","mouseconsensus"
"Efnb1","Ephb6","mouseconsensus"
"Efnb1","Erbb2","mouseconsensus"
"Efnb1","Ephb2","mouseconsensus"
"Efnb1","Ephb3","mouseconsensus"
"Efnb1","Ephb4","mouseconsensus"
"Efnb1","Ephb1","mouseconsensus"
"Efnb1","Epha4","mouseconsensus"
"Efnb1","Epha6","mouseconsensus"
"Cntn2","Nrp1","mouseconsensus"
"Cntn2","Cntn1","mouseconsensus"
"Cntn2","Nrcam","mouseconsensus"
