dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Mural	24
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Neuron/Other	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Oligodendrocyte	12
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Astrocyte	299
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Endothelial	54
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Macrophage	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Microglia	3
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	OEC	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Astrocyte	Tanycyte	8
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Astrocyte	6
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Choroid	322
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Dendritic	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Endothelial	89
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	OEC	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Choroid	Smooth_muscle	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Endothelial	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Endothelial	Endothelial	1359
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Choroid	8
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Dendritic	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Endothelial	4
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Ependymal	34
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Hypendymal	4
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Ependymal	Tanycyte	8
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Erythroid	Astrocyte	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Erythroid	Choroid	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Erythroid	Endothelial	9
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Erythroid	Microglia	4
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	ABC	21
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	Endothelial	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	Fibroblast	43
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	Microglia	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Fibroblast	Smooth_muscle	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Lymphocyte	Endothelial	3
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Lymphocyte	Lymphocyte	21
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Lymphocyte	Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Lymphocyte	Microglia	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Lymphocyte	Neuron/Other	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Microglia	Endothelial	101
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Microglia	Fibroblast	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Microglia	Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Microglia	Microglia	1171
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Microglia	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Astrocyte	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Dendritic	68
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Endothelial	23
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Fibroblast	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Macrophage	252
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Microglia	51
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Neuron/Other	3
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Pericyte	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Myeloid	Tanycyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neuron	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neutrophil	Dendritic	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neutrophil	Endothelial	65
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neutrophil	Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neutrophil	Monocytes	41
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Neutrophil	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	OPC	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Oligodendrocyte	Endothelial	59
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Oligodendrocyte	Ependymal	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Oligodendrocyte	OEC	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Oligodendrocyte	Oligodendrocyte	173
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Endothelial	30
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Fibroblast	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Neuron/Other	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Pericyte	50
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Pericyte	Smooth_muscle	30
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Astrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Endothelial	42
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Macrophage	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Microglia	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Neuron/Other	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Smooth_muscle	Smooth_muscle	327
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	ABC	3
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Astrocyte	7
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Choroid	17
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Dendritic	33
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Endothelial	2904
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Fibroblast	2
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Lymphocyte	15
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Macrophage	18
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Microglia	632
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Neuron/Other	9
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	OEC	3
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Oligodendrocyte	1
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Smooth_muscle	23
GSE174574	GSM5319988	Sham	Sham2	whole_brain	Unassigned	Tanycyte	5
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Astrocyte	Astrocyte	324
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Astrocyte	Endothelial	46
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Astrocyte	275
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Endothelial	84
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Fibroblast	4
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Microglia/Macrophage	34
GSE174574	GSM5319988	Sham	Sham2	cortex_hippocampus	Choroid	Mural	2
