dataset	config	panel	gene	tested	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GSE174574	primary	Endothelial_activation	Selp	True	49.30295218076444	3.803234329996289	0.4046381230372695	9.399100365157608	5.503157582671753e-21	1.986187095897827e-19
GSE174574	primary	Endothelial_activation	Ccl2	True	305.0562248119733	2.971651421320165	0.1524033745162561	19.498593326771736	1.1284331959043907e-84	3.386784368234099e-82
GSE174574	primary	Endothelial_activation	Cxcl10	True	72.41273271388889	2.99627910028488	0.2962919431625512	10.112590535885971	4.858237243481303e-24	2.2074978391196923e-22
GSE174574	primary	Angiogenesis_associated	Apln	True	82.14104076422844	2.6540734765143283	0.2504648826634523	10.59658922357026	3.090465376005483e-26	1.6021253460610243e-24
GSE174574	primary	Angiogenesis_associated	Esm1	True	51.89160025751366	0.0638696306552679	0.4737806052601195	0.1348084534194928	0.8927633219917275	0.9414670076112484
GSE174574	primary	Angiogenesis_associated	Dll4	True	236.49542400113344	0.3131449853198714	0.1227528930979591	2.5510191851036508	0.0107408413111875	0.038546033717462
GSE174574	primary	Angiogenesis_associated	Angpt2	True	306.31784349355394	2.610033333781866	0.1398425625788664	18.664083993096856	9.702453961234548e-78	2.3053434880808343e-75
GSE174574	primary	Angiogenesis_associated	Pgf	True	28.27319471249	1.943288306501494	0.3831570593184329	5.071779990060087	3.941118716231544e-07	4.00253419043818e-06
GSE174574	primary	Angiogenesis_associated	Flt1	True	9070.268697827763	-0.3392516435339548	0.0510856385169453	-6.64084179786504	3.1189666640225166e-11	5.301313681546466e-10
GSE174574	singlet	BBB_junction	Cldn5	True	26825.68902833038	-0.0615467328201939	0.0490656285972132	-1.2543757122820112	0.2097054762071272	0.3834441227066565
GSE174574	singlet	BBB_junction	Ocln	True	1788.822072546415	-0.3635554087211672	0.0643438097849558	-5.650200228059386	1.602610543496102e-08	2.0342612762816746e-07
GSE174574	singlet	BBB_junction	Tjp1	True	1030.3039637175823	-0.7617961479227882	0.0701034612224555	-10.866740880388502	1.6602604104547755e-27	9.404838325093568e-26
GSE174574	singlet	BBB_junction	Tjp2	True	211.94313743337173	-0.3251572086479109	0.1289252350548679	-2.522060235217184	0.011666972821887	0.0416165891447388
GSE174574	singlet	BBB_transport	Mfsd2a	True	1045.3774786207157	-0.8323538574608974	0.0783473061549169	-10.623898871712012	2.3071882569636303e-26	1.2333166898491971e-24
GSE174574	singlet	BBB_transport	Slc2a1	True	13808.52438879687	0.3425428660333119	0.0515554711068637	6.644161301974954	3.049484752272603e-11	5.268806280633666e-10
GSE174574	singlet	BBB_transport	Slco1c1	True	3589.338127421204	-0.7293154404266199	0.0544513391213068	-13.393893560667962	6.564705064752297e-41	5.979658549381572e-39
GSE174574	singlet	BBB_transport	Abcb1a	True	2865.7778616072496	-0.9730075085057625	0.1849574440766275	-5.260710177756605	1.4350006900718365e-07	1.5803862016910097e-06
GSE174574	singlet	BBB_transport	Abcb1b	True	20.066425195450424	1.9714630345805213	0.4432450419085714	4.44779489487708	8.675630897034463e-06	7.040679500615425e-05
GSE174574	singlet	BBB_transport	Abcg2	True	4999.873518578472	-0.5225559506457949	0.0529563362935698	-9.867675659225036	5.748110676815698e-23	2.488516660312682e-21
GSE174574	singlet	Endothelial_activation	Icam1	True	514.5395460898161	0.8814730377085753	0.2002119656719084	4.402699083195975	1.0691240723046165e-05	8.554495212410656e-05
GSE174574	singlet	Endothelial_activation	Vcam1	True	1079.8312196874483	0.0007246285495958	0.0835351065480331	0.0086745391194198	0.9930788059652168	0.9956511893380232
GSE174574	singlet	Endothelial_activation	Sele	True	12.070146430278074	2.992863957271299	0.6856089073583491	4.365264110705334	1.2696925427238588e-05	0.0001005335138487
GSE174574	singlet	Endothelial_activation	Selp	True	49.44186491066756	3.811888155403199	0.4049373513943021	9.413525678176883	4.7976791968432514e-21	1.7793607601060998e-19
GSE174574	singlet	Endothelial_activation	Ccl2	True	286.8670012693304	2.894161917395341	0.1517581175724039	19.07088703847776	4.4076477150065795e-81	1.1671041135596493e-78
GSE174574	singlet	Endothelial_activation	Cxcl10	True	69.2979881883336	2.929181190278113	0.2996855908813134	9.774180939644095	1.4532801743536876e-22	6.039068636931054e-21
GSE174574	singlet	Angiogenesis_associated	Apln	True	82.33622990560325	2.6625187886050123	0.2508120369170516	10.615594137077077	2.5218492792234987e-26	1.3417652286560167e-24
GSE174574	singlet	Angiogenesis_associated	Esm1	True	50.906437350903815	0.0155579803132987	0.299370461915535	0.0519689892374497	0.958553403014072	0.9797207402799122
GSE174574	singlet	Angiogenesis_associated	Dll4	True	235.9905084552739	0.3196271656368579	0.1228816132213658	2.601098384516353	0.009292579973309	0.0344177240751688
GSE174574	singlet	Angiogenesis_associated	Angpt2	True	306.5714891770618	2.616127259117317	0.1397870991001417	18.715083694834785	3.730350751076935e-78	9.438616367058216e-76
GSE174574	singlet	Angiogenesis_associated	Pgf	True	28.18365355985425	1.942361604274136	0.3840381854693646	5.057730397044285	4.242756794594344e-07	4.367814544597756e-06
GSE174574	singlet	Angiogenesis_associated	Flt1	True	9036.14720823285	-0.3344199193251403	0.0515929700504062	-6.481889276744732	9.058110719679618e-11	1.483966167687369e-09
GSE174574	reference_singlet	BBB_junction	Cldn5	True	24185.767815518822	-0.04898534473381	0.0484526331417519	-1.0109944817756256	0.3120190709225932	0.5214863280133657
GSE174574	reference_singlet	BBB_junction	Ocln	True	1621.205337462683	-0.3420580245120163	0.0674444601419889	-5.071699347758011	3.942789513206206e-07	4.539273188790947e-06
GSE174574	reference_singlet	BBB_junction	Tjp1	True	940.02200966393	-0.7150184430326354	0.0719853775994984	-9.932828956052004	2.996317569712017e-23	1.532636959630777e-21
