dataset	panel	gene	effect	ci_low	ci_high	pvalue	padj	method	control
GSE163752	BBB_transport	Abcg2	-0.5137254805441541	-0.8571037666588386	-0.1703471944294696	0.0120521045281067	0.2409963834113892	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Icam1	1.0923741040694783	-0.0959515977624905	2.280699805901448	0.0645088257499374	0.4133794167835975	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Vcam1	-0.0036644735746458	-0.6178797844195734	0.6105508372702817	0.9883569754097016	0.997787135901544	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Sele	2.3009166268191907	0.7191524403268978	3.882680813311484	0.0134412158979444	0.2445856918033363	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Selp	2.8998331715684187	0.994737031768952	4.804929311367886	0.0112632288127245	0.2345368331068026	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Ccl2	4.467622620564632	2.012690385664809	6.922554855464455	0.0054429116384247	0.1863861714210158	paired t on log2 normalized+1	Contralateral
GSE163752	Endothelial_activation	Cxcl10	1.31064140452879	-0.1738494058112252	2.795132214868805	0.072480553294492	0.4324302484646544	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Apln	3.220722232161615	2.1158384229930496	4.325606041330181	0.0006690631879457	0.1006245484598532	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Esm1	0.0823498875077336	-1.781922958954986	1.946622733970453	0.9140133700420072	0.98112788665021	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Dll4	0.5887431123331286	-0.7470346466348377	1.9245208713010948	0.3086085185743506	0.7033820221115634	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Angpt2	2.302238493416899	1.4114639594670686	3.193013027366729	0.0011646587199999	0.1267406488656672	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Pgf	2.2163134503410067	0.9170499227729252	3.515576977909088	0.0071214369074611	0.1982499156160617	paired t on log2 normalized+1	Contralateral
GSE163752	Angiogenesis_associated	Flt1	-0.3074803430525774	-0.7931464993381742	0.1781858132330193	0.1645675892462047	0.5768172456501157	paired t on log2 normalized+1	Contralateral
