dataset_discovery	config_discovery	sender	receiver	ligand	receptor	eligible_05_discovery	eligible_10_discovery	eligible_20_discovery	mean_control_score_discovery	mean_stroke_score_discovery	score_difference_discovery	welch_p_discovery	exact_permutation_p_discovery	ligand_mean_log2fc_discovery	receptor_mean_log2fc_discovery	ligand_min_padj_discovery	receptor_min_padj_discovery	ligand_any_changed_discovery	receptor_any_changed_discovery	candidate_changed_component_discovery	ligand_min_detection_stroke_discovery	receptor_min_detection_stroke_discovery	welch_fdr_discovery	welch_fdr_eligible_05_discovery	welch_fdr_eligible_10_discovery	welch_fdr_eligible_20_discovery	dataset_validation	config_validation	eligible_05_validation	eligible_10_validation	eligible_20_validation	mean_control_score_validation	mean_stroke_score_validation	score_difference_validation	welch_p_validation	exact_permutation_p_validation	ligand_mean_log2fc_validation	receptor_mean_log2fc_validation	ligand_min_padj_validation	receptor_min_padj_validation	ligand_any_changed_validation	receptor_any_changed_validation	candidate_changed_component_validation	ligand_min_detection_stroke_validation	receptor_min_detection_stroke_validation	welch_fdr_validation	welch_fdr_eligible_05_validation	welch_fdr_eligible_10_validation	welch_fdr_eligible_20_validation	same_direction	both_eligible10	discovery_selected
GSE174574	primary	Astrocyte	Endothelial	Apoe	Lsr	True	True	True	2.5263382450484	2.6562700791433294	0.1299318340949296	0.0786634123726249	0.1	-0.1254703970346976	0.1949982543350893	0.3199216205539684	0.0085393749665143	False	False	False	0.9987244897959184	0.7140460724035494		0.1318049176199093	0.1362495467889485	0.1245504029233228	GSE245386	primary	True	True	True	1.978366619840429	2.067920470734581	0.089553850894152	0.6828096779268772	0.7	-0.1192856063455494	0.1783464979363165	0.9123685072587449	0.4138988543288195	False	False	False	0.97669343575419	0.7564135023657002		0.8451110359262501	0.8284905701230024	0.8321120856368357	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Apoe	Scarb1	True	True	True	1.553473287158902	1.527628677833902	-0.0258446093250002	0.4084036027583235	0.4	-0.1254703970346976	-0.0692939313506181	0.3199216205539684	0.5974371772442121	False	False	False	0.9987244897959184	0.2935187930331461		0.4934876866663075	0.4961144436191715	0.4702829365095846	GSE245386	primary	True	True	True	1.651600060479143	1.39832353480658	-0.2532765256725631	0.1406276431734885	0.2	-0.1192856063455494	-0.5701560621223908	0.9123685072587449	4.424057631144092e-05	False	True	True	0.97669343575419	0.4583736639557643		0.4677308434296738	0.4166499439359618	0.3636443656843025	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Apoe	Trem2	True	True	False	1.1789527607107015	1.074372067492392	-0.1045806932183095	0.2446399390981276	0.3	-0.1254703970346976	-0.292190656180135	0.3199216205539684	0.0594891051189569	False	False	False	0.9987244897959184	0.1522425126833443		0.3203916656387966	0.3232104304873074		GSE245386	primary	True	True	True	1.259019238573193	0.9684108235611452	-0.2906084150120478	0.0853467355194971	0.1	-0.1192856063455494	-0.8442362035935397	0.9123685072587449	0.0001354500927983	False	True	True	0.97669343575419	0.2576872422068169		0.4226386231942292	0.3807552537866976	0.3443991350453551	True	True	False
GSE174574	primary	Astrocyte	Endothelial	App	Aplp1	True	True	False	0.2602244612692916	0.3131218638928078	0.0528974026235161	0.018823216096826	0.1	-0.1691649721815252	0.6491609349582534	0.5486518659696291	3.378737118528639e-05	False	True	True	0.3456211124355439	0.1259948529237475		0.0465334588098584	0.0469931326003519		GSE245386	primary	True	True	True	0.3721376749700107	0.4223783272052697	0.0502406522352589	0.6162615349576624	0.6	0.1393068720114254	0.4861068660029936	0.8910520557302752	0.6321885182573306	False	False	False	0.5079822315332092	0.3244965711581523		0.8031104016758072	0.7848116983648864	0.7829705824082155	True	True	True
GSE174574	primary	Astrocyte	Endothelial	App	Aplp2	True	True	True	0.9325671957389672	0.857050622815643	-0.0755165729233242	0.0448027390271299	0.1	-0.1691649721815252	-0.238553481445498	0.5486518659696291	0.0002094596828772	False	False	False	0.3456211124355439	0.7167712436737764		0.0875162311566216	0.0886261832121368	0.0862027383813133	GSE245386	primary	True	True	True	1.0215232408230814	0.9647621288171832	-0.0567611120058981	0.3868046577329762	0.3	0.1393068720114254	-0.4670097053974353	0.8910520557302752	0.0002400160207871	False	False	False	0.5079822315332092	0.8448221547893178		0.6596733394971714	0.6003530625230569	0.5900888574174601	True	True	False
GSE174574	primary	Astrocyte	Endothelial	App	Cd74	True	True	True	0.3982794759537336	0.5310733671598524	0.1327938912061187	0.1119160672606974	0.2	-0.1691649721815252	1.5523975133229655	0.5486518659696291	0.0002391863485641	False	True	True	0.3456211124355439	0.3287825578063243		0.1747095542744635	0.177542689610483	0.1610524846232069	GSE245386	primary	True	True	False	0.2792535837027495	0.2141578194930471	-0.0650957642097023	0.2884780503148553	0.3	0.1393068720114254	-1.8070788702523728	0.8910520557302752	1.1958415337969446e-11	False	True	True	0.5079822315332092	0.0924557545458873		0.5923180496463858	0.5345207022022723		False	True	True
GSE174574	primary	Astrocyte	Endothelial	App	Lrp10	True	True	True	0.4225078905124753	0.4599362231855696	0.0374283326730943	0.0571871252397901	0.1	-0.1691649721815252	0.372076925431556	0.5486518659696291	0.0007225415466811	False	False	False	0.3456211124355439	0.2633507377400639		0.1046579913368974	0.1061627658297642	0.1010749190284662	GSE245386	primary	True	True	True	0.4886150100917044	0.5472189414474595	0.058603931355755	0.3683875518947027	0.2	0.1393068720114254	0.2552841507033669	0.8910520557302752	0.1245131528509813	False	False	False	0.5079822315332092	0.4836368125165095		0.6538049344437517	0.5927618275627506	0.5810792327999462	True	True	False
GSE174574	primary	Astrocyte	Endothelial	App	Ncstn	True	True	False	0.336630419708554	0.3144248374235225	-0.0222055822850315	0.2155499087742597	0.2	-0.1691649721815252	-0.1438386891062667	0.5486518659696291	0.4231810440648494	False	False	False	0.3456211124355439	0.1297741872647942		0.289160583766009	0.2933423570536918		GSE245386	primary	True	True	True	0.3173436557930119	0.3415017207174368	0.0241580649244249	0.516506952576221	0.2	0.1393068720114254	0.0377242835772769	0.8910520557302752	0.9192980241009509	False	False	False	0.5079822315332092	0.2251749656742455		0.7427143770621573	0.6996321448532448	0.7009737213534428	False	True	False
GSE174574	primary	Astrocyte	Endothelial	App	Rpsa	True	True	True	0.7650845782165604	0.8214117198612257	0.0563271416446653	0.112312916908289	0.2	-0.1691649721815252	0.706277538218386	0.5486518659696291	2.8859653325966683e-22	False	True	True	0.3456211124355439	0.6467173364049867		0.1749668168364668	0.177542689610483	0.1610524846232069	GSE245386	primary	True	True	True	0.967421141168564	1.0459014553607078	0.0784803141921436	0.5068308246253933	0.5	0.1393068720114254	0.22893682047132	0.8910520557302752	0.1615634009598045	False	False	False	0.5079822315332092	0.8910216800625004		0.7376921753435118	0.6927623161626048	0.6923375316778247	True	True	True
GSE174574	primary	Astrocyte	Endothelial	App	Tspan12	True	True	True	0.5166039235789679	0.4539938674350018	-0.062610056143966	0.0569961329524036	0.1	-0.1691649721815252	-0.3425352654332562	0.5486518659696291	0.0012689643794707	False	False	False	0.3456211124355439	0.2524326671597323		0.1045622487739959	0.1061627658297642	0.1010749190284662	GSE245386	primary	True	True	True	0.523178428242089	0.4720307090824014	-0.0511477191596876	0.4064768860135453	0.2	0.1393068720114254	-0.5064724534548399	0.8910520557302752	0.0004358783917997	False	True	True	0.5079822315332092	0.3704192269028041		0.6700916028842546	0.6105348388711517	0.5982652758931759	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Arf1	Insr	True	True	True	0.463521719540268	0.519141931930765	0.0556202123904969	0.0663398667707319	0.1	0.2353062131581801	0.1562574643773691	0.184391111097561	0.2763579430610477	False	False	False	0.5406501500152537	0.2096542450731938		0.1155202298963785	0.1194777700049999	0.110809447792871	GSE245386	primary	True	True	True	0.6898165434810252	0.8690740214994906	0.1792574780184654	0.093640591158872	0.1	0.2221120515978646	0.7943879872468574	0.7586509967432231	7.237865505277919e-12	False	True	True	0.5199119335816264	0.7685278568315018		0.4226386231942292	0.3807552537866976	0.3443991350453551	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Arf6	Smap1	True	True	True	0.4037321456447951	0.3341385710132631	-0.0695935746315319	0.24991375310365	0.2	4.581748338325737e-05	-0.5358379007036835	0.99998958215085	2.5178524081634365e-06	False	True	True	0.246981488112713	0.2291037998706739		0.3243286916353736	0.327785429795367	0.3038951237740384	GSE245386	primary	True	True	False	0.2982004132153324	0.300262677124538	0.0020622639092055	0.9363770532371328	1.0	0.2553379531266068	-0.1579461214361887	0.8444684508861071	0.3852570193789446	False	False	False	0.1612255586592178	0.6174185819239784		0.9725814384238056	0.9662062391435788		False	True	True
GSE174574	primary	Astrocyte	Endothelial	Arpc5	Adrb2	True	True	False	0.2743516711011458	0.2793905961373223	0.0050389250361765	0.7857235373268147	0.8	0.3216914253327201	-0.1401586406711295	0.1917850034213663	0.4774066749358343	False	False	False	0.3165074056348736	0.1217026867006647		0.8367733716729071	0.8319180755828316		GSE245386	primary	True	True	False	0.171958021383543	0.1750755486793619	0.0031175272958189	0.9325987134190024	0.9	0.7355104855721658	-0.5546861027685379	0.0868040668596081	0.1201844574395456	False	False	False	0.3683271260086902	0.1285432999207544		0.9713343096778204	0.9659471387555614		True	True	False
GSE174574	primary	Astrocyte	Endothelial	B2m	Hfe	True	True	False	0.5574687840917895	0.4872947569180662	-0.0701740271737232	0.0227031949321377	0.1	-0.1256396119158118	-0.4357585867646868	0.5591918038919093	0.006116462306655	False	False	False	0.8261056905523708	0.0946971782642704		0.0531621396858131	0.0533672504248951		GSE245386	primary	True	True	False	0.2872673274383478	0.2878661419968931	0.0005988145585452	0.9924330194863958	1.0	0.8006262275922802	-0.5820842732466227	0.1780915913067019	0.0037460754420426	False	True	True	0.5690855834885165	0.1319423896698846		0.9962085872343476	0.9955098325974588		False	True	False
GSE174574	primary	Astrocyte	Endothelial	B2m	Tfrc	True	True	True	1.170354417433061	0.7346804151826275	-0.4356740022504334	0.0004531356810066	0.1	-0.1256396119158118	-1.5791609451788873	0.5591918038919093	2.0081506082934385e-67	False	True	True	0.8261056905523708	0.1888108701151933		0.0050544115508194	0.0050003775715365	0.0040757058659127	GSE245386	primary	True	True	True	0.8306905170619329	0.7410338198693192	-0.0896566971926137	0.4324349750934679	0.2	0.8006262275922802	-1.1534779350010405	0.1780915913067019	1.7732679791055257e-08	False	True	True	0.5690855834885165	0.5504527919369246		0.6916618952103912	0.6366878585862323	0.6296804685012564	True	True	True
GSE174574	primary	Astrocyte	Endothelial	Bsg	Slc16a1	True	True	True	1.7331729801407465	1.4074368676620488	-0.3257361124786975	0.0045614557364626	0.1	-0.7517925950199014	-0.5396093281251632	1.3133234160873126e-11	1.957851405751212e-15	True	True	True	0.9656482978436678	0.3926614596404161		0.0176364711576785	0.0191732568697016	0.0170830850859004	GSE245386	primary	True	True	True	1.453257126070388	1.069824882312628	-0.3834322437577599	0.0082128990374803	0.1	-1.0526704372412723	-0.4818256419985441	0.0002883935281029	3.648264369772754e-05	True	False	True	0.7536274053382992	0.6499561769090113		0.2534812509631816	0.216457298800228	0.1882452132787486	True	True	True
GSE174574	primary	Astrocyte	Endothelial	C1qa	Cd93	True	True	True	0.7450892429698456	1.011670913632285	0.2665816706624394	0.0062233113938829	0.1	0.4642722615698055	0.6630158822062177	0.0023456843317993	5.359864953697091e-20	False	True	True	0.7061203120632361	0.4588137345722138		0.0212324741673652	0.02270807513314	0.0209751594848347	GSE245386	primary	True	True	True	1.0675366158691189	1.0546109853059216	-0.0129256305631972	0.9580483228352232	1.0	0.1940323312637232	0.2174257315772954	0.8753149368526251	0.7642968402087742	False	False	False	0.7018738361266295	0.653416404303717		0.983851535700464	0.9737326064287058	0.972000482876513	False	True	True
GSE174574	primary	Astrocyte	Endothelial	C1qb	C1qbp	True	True	True	0.4551988583735637	0.7198281628907511	0.2646293045171874	1.6928520694881902e-06	0.1	0.6947570772474564	0.9910906100836558	0.0181889078298207	3.180795434131855e-18	True	True	True	0.7805769888827836	0.2341907877789438		0.0005472410286543	0.0006128124491547	0.0002573135145622	GSE245386	primary	True	True	True	0.5085300606773924	0.5330442678317988	0.0245142071544064	0.8568610562368556	0.9	0.2785596092775126	0.1519800447149595	0.8015593507008794	0.5773534850781611	False	False	False	0.720951660459342	0.287876171532632		0.941408244252719	0.9320484601848464	0.9255684284211304	True	True	True
