sender	receiver	ligand	receptor	dataset	config	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	status
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	True	True	True	1.1021834138150564	0.8126545467117575	-0.2895288671032988	0.0007183036589491	0.1	-0.4783676234320829	-0.6828627990484692	0.0004510514820955	1.3515821087134501e-19	False	True	True	0.485584405790216	0.5246102396400046		0.0099561928243284	0.0091447609666302	0.0068407131081895	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	True	True	True	1.6763953001807197	1.254148770089195	-0.4222465300915246	0.0003142857011703	0.1	-1.1516005973907169	-0.133551823647663	1.646271359867227e-65	0.4136347810188441	True	False	True	0.513237480031354	0.7940999849550089		0.0059714283222366	0.0067848736664422	0.006375509938027	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	True	True	True	0.6608821988585815	1.077778366274417	0.4168961674158354	0.0010509171153435	0.1	1.7696831820056782	0.3115443219562937	2.9696020408064436e-166	0.165494420626155	True	False	True	0.8139079849614054	0.4014310815580855		0.0117269005093096	0.0107135161480855	0.0079454816449491	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	True	True	False	0.0325614529450493	0.5593053511921339	0.5267438982470846	0.0004622565482919	0.1	7.882759217654775	0.9786440462560312	3.8271302941498313e-59	1.684858897802965e-14	True	True	True	0.9247042633628966	0.1161859072346522		0.0075573570569594	0.0073760066618762		eligible_10pct
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	True	False	False	0.0449881149621395	0.1037884894407131	0.0588003744785736	0.0011691736271368	0.1	1.6994114831534928	0.6306007899435995	0.0001168860016803	2.986022913163267e-12	True	True	True	0.1102954280977226	0.057800883142102		0.0120163352818047			fails_10pct_gate
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_only	True	True	True	0.8842964671739418	0.6379200603353121	-0.2463764068386297	0.0099719715257191	0.1	-0.5322608812407073	-0.6732563641019508	0.0002994247943986	1.1899777390437777e-25	True	True	True	0.4662386020961023	0.3378439710339184		0.0300885894087716	0.0311624110178723	0.0270393843293538	eligible_10pct
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_only	True	True	True	1.657178662077316	1.2647124985635894	-0.3924661635137265	0.0001140570716643	0.1	-0.9087091012638434	-0.2059716323914436	2.141696417668284e-68	0.1587003677096902	True	False	True	0.53018461414662	0.7547571282013014		0.0023263066344089	0.0028766944740062	0.0030654624196171	eligible_10pct
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_only	True	True	True	0.6623492468463631	1.0922760964276577	0.4299268495812945	2.037684240216836e-05	0.1	1.763939805984393	0.3384677606387922	3.638546588178496e-216	0.1092539460697961	True	False	True	0.8064322663803979	0.4026982217782388		0.0008354505384889	0.0007131894840758	0.0009577115929019	eligible_10pct
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_only	True	False	False	0.0323019557377878	0.5310983120872167	0.4987963563494288	0.0001074035821525	0.1	7.626984891873158	0.9782258511617768	2.766818905715768e-15	2.0749778939395007e-31	True	True	True	0.9265130037671122	0.0960127986155913		0.0022766395103975			fails_10pct_gate
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_only	True	False	False	0.0400499770266259	0.1007204890220147	0.0606705119953887	0.0037896786131202	0.1	1.8803641060549527	0.6556948613432761	6.794121799055226e-06	1.8060150697578392e-15	True	True	True	0.1165231137980965	0.0482566349134201		0.0175097134354389			fails_10pct_gate
