sender	receiver	ligand	receptor	dataset	config	sample	condition	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank	expression_eligible	magnitude_priority	status	reported_eligible
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319988	Sham	0.68883014	0.0	0.4375721	0.42378868146853	0.7890086715351718	0.018067444	0.8317512	0.1053322222753324	0.7040929449167471	True	0.2959070550832529	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319988	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319989	Sham	1.0888567	0.0	1.1678736	0.5366936950855559	0.8563144668457924	0.032516256	0.89134175	0.0164636646193192	0.1774571221574762	True	0.8225428778425238	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319989	Sham	1.67528	0.0	2.8040211	1.758952831414113	1.335233027861974	0.06401544	0.927065	0.0103587365944024	0.0270257843591308	True	0.9729742156408692	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319989	Sham	0.654293	0.0	0.39120576	0.3647157697354163	0.6615590433198063	0.015651817	0.8260183	0.102038117814218	0.7828032698353086	True	0.21719673016469143	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319989	Sham												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319990	MCAO	0.80151826	0.0	0.6346897	0.5335821551962658	0.6643346089398484	0.03329939	0.8609534	0.0121565650452168	0.4818032439378617	True	0.5181967560621383	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319990	MCAO	1.3064154	0.0	1.6683958	1.2442065221867848	0.9711235698841428	0.04285105	0.9094116	0.0091815164630051	0.0850938187938876	True	0.9149061812061124	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319990	MCAO	1.2687247	0.0	1.1467305	0.6652702656590311	1.2117850865784985	0.021472836	0.892736	0.0121565650452168	0.1014087420236122	True	0.8985912579763878	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319990	MCAO	1.160639	1.0	0.32693124	-0.1300252327974572	-1.016332569957981	0.006732512	0.816309	1.0	0.6372498292440405	True	0.3627501707559595	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319990	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319991	MCAO	0.79198873	0.0	0.6177576	0.5468847225062667	0.7049347549119418	0.031251725	0.8598307	0.0130098349189641	0.5106768633167353	True	0.48932313668326466	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319991	MCAO	1.2512951	0.0	1.5211537	1.2752910522870302	1.0096300329380044	0.043988816	0.9058896	0.0096559655735715	0.1106922428487297	True	0.8893077571512703	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319991	MCAO	1.2628697	0.0	1.1488681	0.684989962074227	1.2541422858832805	0.024716642	0.8932238	0.0130098349189641	0.1061486596707858	True	0.8938513403292142	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319991	MCAO	1.1093557	1.0	0.3453474	-0.1243792748014302	-1.0689548750431528	0.0074926475	0.8209963	1.0	0.6290701013747064	True	0.3709298986252936	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319991	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE174574	reference_singlet	GSM5319992	MCAO	0.85547435	0.0	0.7315623	0.5438210151218575	0.655542809896077	0.036336865	0.86329716	0.0115743325346838	0.3959404147238226	True	0.6040595852761774	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE174574	reference_singlet	GSM5319992	MCAO	1.2645929	0.0	1.5312393	1.3463469507227686	1.0615483323556083	0.04572016	0.9013463	0.0114334330365702	0.0849750222378085	True	0.9150249777621915	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	GSM5319992	MCAO	1.310792	0.0	1.1894675	0.6739708975732733	1.248761921490582	0.02051579	0.8895338	0.0134370998540574	0.0692484713347718	True	0.9307515286652281	reported_expression_eligible	True
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	GSM5319992	MCAO	0.9668469	1.0	0.26881573	-0.1251842881146708	-0.9969991572850324	0.006811199	0.79287964	1.0	0.7889287359088646	True	0.2110712640911354	reported_expression_eligible	True
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	GSM5319992	MCAO												not_reported_by_expression_or_resource_filter	False
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	GSM7841720	Sham	1.1116426	0.0	1.1995293	0.8983092936377077	1.2629021429535534	0.04104073	0.89926	0.006900905506506	0.069724864653194	True	0.930275135346806	reported_expression_eligible	True
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	GSM7841720	Sham	2.0612378	0.0	4.243385	1.416818236384587	1.7382108511501826	0.036397856	0.94378656	0.0075903935019995	0.0001244622756059	True	0.9998755377243941	reported_expression_eligible	True
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	GSM7841720	Sham	0.97160435	0.0	0.77732193	0.6172039020002548	1.0541616938532508	0.016351879	0.87783796	0.0079539938907736	0.1462144530661809	True	0.8537855469338191	reported_expression_eligible	True
