sender	receiver	ligand	receptor	dataset	config	metric	n_expected_animals	n_observed_finite	n_observed_sham	n_observed_mcao	missing_or_nonfinite_samples	n_sham	n_mcao	mean_sham	mean_mcao	score_difference	animal_welch_p	animal_welch_fdr	animal_exact_permutation_p	n_label_permutations	n_bh_tests	status
Endothelial	Astrocyte	Plat	Lrp1	GSE174574	reference_singlet	magnitude_rank	6	6	3	3		3.0	3.0	0.2716802462425928	0.9077313756569434	0.6360511294143506	0.0004297488385340938	0.02635792876342442	0.1	20.0	184.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE174574	reference_singlet	magnitude_rank	6	3	0	3	GSM5319987|GSM5319988|GSM5319989											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE174574	reference_singlet	magnitude_rank	6	0	0	0	GSM5319987|GSM5319988|GSM5319989|GSM5319990|GSM5319991|GSM5319992											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	lr_means	5	5	3	2		3.0	2.0	1.2609186	0.846837175	-0.4140814249999999	0.03033907671807581	0.24521912385651637	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	lr_means	5	5	3	2		3.0	2.0	2.2309097333333336	1.39757775	-0.8333319833333337	0.1309919964404567	0.41292841262024765	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	lr_means	5	5	3	2		3.0	2.0	1.0575818833333333	1.49922645	0.44164456666666685	0.012619098155272027	0.1877090850596714	0.1	10.0	476.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	lr_means	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	lr_means	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	expr_prod	5	5	3	2		3.0	2.0	1.5700633333333334	0.713911085	-0.8561522483333334	0.03277937305214402	0.36066492767247854	0.2	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	expr_prod	5	5	3	2		3.0	2.0	4.951623566666666	1.23580687	-3.715816696666666	0.022777964405738763	0.32855488051914095	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	expr_prod	5	5	3	2		3.0	2.0	0.9791772433333333	1.89714865	0.9179714066666668	0.03627901149534646	0.36066492767247854	0.1	10.0	476.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	expr_prod	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	expr_prod	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	lr_logfc	5	5	3	2		3.0	2.0	1.2790452411608688	0.45622165510560553	-0.8228235860552633	0.007418211346983207	0.19617047784244482	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	lr_logfc	5	5	3	2		3.0	2.0	1.9526551667527705	0.6632012652873864	-1.289453901465384	0.004728512903892068	0.16851439851275232	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	lr_logfc	5	5	3	2		3.0	2.0	1.2155976954523584	1.502088595309317	0.28649089985695864	0.09280202196930801	0.3758588186452943	0.2	10.0	476.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	lr_logfc	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	lr_logfc	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	spec_weight	5	5	3	2		3.0	2.0	0.047612335	0.0270059835	-0.020606351499999998	0.07002507190332712	0.43594361763308787	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	spec_weight	5	5	3	2		3.0	2.0	0.04549536866666667	0.0129030865	-0.03259228216666667	0.011338256192806552	0.36129435804309573	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	spec_weight	5	5	3	2		3.0	2.0	0.020892514333333334	0.023184036999999998	0.0022915226666666635	0.47134598447695264	0.7356088151181293	0.5	10.0	476.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	spec_weight	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	spec_weight	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	lrscore	5	5	3	2		3.0	2.0	0.90407685	0.858089485	-0.045987365	0.12935945876320704	0.44721063981268594	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	lrscore	5	5	3	2		3.0	2.0	0.9439249866666667	0.883328465	-0.060596521666666736	0.217187059077524	0.49996704772616524	0.1	10.0	476.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	lrscore	5	5	3	2		3.0	2.0	0.8818350533333333	0.90858693	0.026751876666666674	0.022449295123364358	0.2380215663863065	0.1	10.0	476.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	lrscore	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	lrscore	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	primary	magnitude_rank	5	5	3	2		3.0	2.0	0.957054826224757	0.677243739472453	-0.27981108675230404	0.13363573019180516	0.5534748778300954	0.1	10.0	468.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	primary	magnitude_rank	5	5	3	2		3.0	2.0	0.9998471663477803	0.962423191831028	-0.03742397451675228	0.42685297188170407	0.8087740519863866	0.1	10.0	468.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	primary	magnitude_rank	5	5	3	2		3.0	2.0	0.8887913713356922	0.9890542863250837	0.10026291498939155	0.02462852380489718	0.3804007653042821	0.1	10.0	468.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	primary	magnitude_rank	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	primary	magnitude_rank	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	lr_means	5	5	3	2		3.0	2.0	1.3276042666666668	0.8871292	-0.4404750666666668	0.03817000604052922	0.2000108316523731	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	lr_means	5	5	3	2		3.0	2.0	2.4286095333333333	1.54469275	-0.8839167833333332	0.11212056220327016	0.30302583628284524	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Plat	Lrp1	GSE245386	reference_singlet	lr_means	5	5	3	2		3.0	2.0	1.1311554666666666	1.5655892	0.43443373333333346	0.04921432662191117	0.22512409999075128	0.1	10.0	524.0	complete_case_tested
Astrocyte	Endothelial	Spp1	Itga5_Itgb1	GSE245386	reference_singlet	lr_means	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	GSE245386	reference_singlet	lr_means	5	2	0	2	GSM7841720|GSM7841721|GSM7841722											not_complete_case
Astrocyte	Endothelial	Timp3	Kdr	GSE245386	reference_singlet	expr_prod	5	5	3	2		3.0	2.0	1.7518247	0.785125475	-0.966699225	0.02061162285545188	0.16616139040395053	0.1	10.0	524.0	complete_case_tested
Endothelial	Astrocyte	Ptn	Ptprz1	GSE245386	reference_singlet	expr_prod	5	5	3	2		3.0	2.0	5.7813224666666665	1.3995302	-4.381792266666666	0.053034707943732155	0.24223572993050413	0.1	10.0	524.0	complete_case_tested
