config	sender	receiver	ligand	receptor
reference_singlet	Astrocyte	Endothelial	Gnai2	Igf1r
reference_singlet	Astrocyte	Endothelial	Gnai2	S1pr1
reference_singlet	Astrocyte	Endothelial	Gpi1	Amfr
reference_singlet	Astrocyte	Endothelial	Grn	Tnfrsf1a
reference_singlet	Astrocyte	Endothelial	H2-K1	Aplp2
reference_singlet	Astrocyte	Endothelial	Hbegf	Cd9
reference_singlet	Astrocyte	Endothelial	Jam3	Itgb1
reference_singlet	Astrocyte	Endothelial	Lgals3bp	Itgb1
reference_singlet	Astrocyte	Endothelial	Lman1	Mcfd2
reference_singlet	Astrocyte	Endothelial	Lrpap1	Lrp8
reference_singlet	Astrocyte	Endothelial	Mdk	Itga6_Itgb1
reference_singlet	Astrocyte	Endothelial	Mdk	Ncl
reference_singlet	Astrocyte	Endothelial	Mdk	Sdc3
reference_singlet	Astrocyte	Endothelial	Ncam1	Ptpra
reference_singlet	Astrocyte	Endothelial	Ncan	Sdc3
reference_singlet	Astrocyte	Endothelial	Ndp	Fzd4
reference_singlet	Astrocyte	Endothelial	Ptdss1	Jmjd6
reference_singlet	Astrocyte	Endothelial	Ptdss1	Scarb1
reference_singlet	Astrocyte	Endothelial	Ptn	Ncl
reference_singlet	Astrocyte	Endothelial	Ptn	Ptprb
reference_singlet	Astrocyte	Endothelial	Ptn	Sdc3
reference_singlet	Astrocyte	Endothelial	Rarres2	Ccrl2
reference_singlet	Astrocyte	Endothelial	Rgma	Bmpr2
reference_singlet	Astrocyte	Endothelial	Rtn4	Tnfrsf19
reference_singlet	Astrocyte	Endothelial	Selplg	Esam
reference_singlet	Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2
reference_singlet	Astrocyte	Endothelial	Sirpa	Cd47
reference_singlet	Astrocyte	Endothelial	Sparc	Eng
reference_singlet	Astrocyte	Endothelial	Sptan1	Ptpra
reference_singlet	Astrocyte	Endothelial	Tgfb2	Eng
reference_singlet	Astrocyte	Endothelial	Timp2	Itgb1
reference_singlet	Astrocyte	Endothelial	Timp3	Kdr
reference_singlet	Astrocyte	Endothelial	Trf	Tfrc
reference_singlet	Astrocyte	Endothelial	Vegfa	Flt1_Kdr
reference_singlet	Astrocyte	Endothelial	Vegfa	Itgb1
reference_singlet	Astrocyte	Endothelial	Vegfa	Nrp1
reference_singlet	Astrocyte	Endothelial	Wnt7b	Tmed5
reference_singlet	Astrocyte	Endothelial	Ybx1	Notch1
reference_singlet	Endothelial	Astrocyte	Adam10	Axl
reference_singlet	Endothelial	Astrocyte	Adam10	Cadm1
reference_singlet	Endothelial	Astrocyte	Adam10	Notch1
reference_singlet	Endothelial	Astrocyte	Adam10	Notch2
reference_singlet	Endothelial	Astrocyte	Adam10	Nrcam
reference_singlet	Endothelial	Astrocyte	Adam10	Trem2
reference_singlet	Endothelial	Astrocyte	Adam10	Tspan12
reference_singlet	Endothelial	Astrocyte	Adam10	Tspan14
reference_singlet	Endothelial	Astrocyte	Adam10	Tspan15
reference_singlet	Endothelial	Astrocyte	Adam15	Itgav
reference_singlet	Endothelial	Astrocyte	Adam15	Itgb1
reference_singlet	Endothelial	Astrocyte	Adm	Adcyap1r1
reference_singlet	Endothelial	Astrocyte	Adm	Ramp1
reference_singlet	Endothelial	Astrocyte	Adm	Ramp2
reference_singlet	Endothelial	Astrocyte	Agrn	Dag1
reference_singlet	Endothelial	Astrocyte	Agrn	Itgb1
reference_singlet	Endothelial	Astrocyte	Agrn	Lrp1
reference_singlet	Endothelial	Astrocyte	Agrn	Lrp4
reference_singlet	Endothelial	Astrocyte	Apoe	Abca1
reference_singlet	Endothelial	Astrocyte	Apoe	Lrp1
reference_singlet	Endothelial	Astrocyte	Apoe	Lrp4
reference_singlet	Endothelial	Astrocyte	Apoe	Sdc2
reference_singlet	Endothelial	Astrocyte	Apoe	Trem2
reference_singlet	Endothelial	Astrocyte	App	Aplp1
reference_singlet	Endothelial	Astrocyte	App	Aplp2
reference_singlet	Endothelial	Astrocyte	App	Lrp1
reference_singlet	Endothelial	Astrocyte	App	Lrp10
reference_singlet	Endothelial	Astrocyte	App	Notch2
reference_singlet	Endothelial	Astrocyte	App	Rpsa
reference_singlet	Endothelial	Astrocyte	App	Tspan12
reference_singlet	Endothelial	Astrocyte	App	Tspan15
reference_singlet	Endothelial	Astrocyte	Arf1	Pld2
reference_singlet	Endothelial	Astrocyte	Arf6	Smap1
reference_singlet	Endothelial	Astrocyte	B2m	Tfrc
reference_singlet	Endothelial	Astrocyte	Bsg	Slc16a1
reference_singlet	Endothelial	Astrocyte	C1qb	C1qbp
reference_singlet	Endothelial	Astrocyte	C1qb	Lrp1
reference_singlet	Endothelial	Astrocyte	Calr	Itgav
reference_singlet	Endothelial	Astrocyte	Calr	Lrp1
reference_singlet	Endothelial	Astrocyte	Cd47	Sirpa
reference_singlet	Endothelial	Astrocyte	Col4a1	Cd47
reference_singlet	Endothelial	Astrocyte	Col4a1	Itgav_Itgb8
reference_singlet	Endothelial	Astrocyte	Col4a2	Itgav_Itgb8
reference_singlet	Endothelial	Astrocyte	Col4a2	Itgb5
reference_singlet	Endothelial	Astrocyte	Cxcl12	Itgav
reference_singlet	Endothelial	Astrocyte	Cxcl12	Itgb1
reference_singlet	Endothelial	Astrocyte	Cxcl12	Sdc4
reference_singlet	Endothelial	Astrocyte	Dll4	Notch1
reference_singlet	Endothelial	Astrocyte	Dll4	Notch2
reference_singlet	Endothelial	Astrocyte	Edn1	Ednrb
reference_singlet	Endothelial	Astrocyte	Efna1	Epha5
reference_singlet	Endothelial	Astrocyte	Entpd1	Adora2b
reference_singlet	Endothelial	Astrocyte	Fam3c	Lamp1
reference_singlet	Endothelial	Astrocyte	Fam3c	Lifr
reference_singlet	Endothelial	Astrocyte	Fn1	Itga6
reference_singlet	Endothelial	Astrocyte	Fn1	Itgav_Itgb1
reference_singlet	Endothelial	Astrocyte	Fn1	Itgav_Itgb8
reference_singlet	Endothelial	Astrocyte	Fn1	Sdc2
reference_singlet	Endothelial	Astrocyte	Gas6	Axl
reference_singlet	Endothelial	Astrocyte	Gas6	Mertk
reference_singlet	Endothelial	Astrocyte	Gnai2	Ednrb
reference_singlet	Endothelial	Astrocyte	Gnai2	Igf1r
reference_singlet	Endothelial	Astrocyte	Gnai2	S1pr1
reference_singlet	Endothelial	Astrocyte	Gpi1	Amfr
reference_singlet	Endothelial	Astrocyte	H2-K1	Aplp2
reference_singlet	Endothelial	Astrocyte	Hbegf	Cd9
reference_singlet	Endothelial	Astrocyte	Hsp90b1	Lrp1
reference_singlet	Endothelial	Astrocyte	Jam2	Itgav_Itgb1
reference_singlet	Endothelial	Astrocyte	Lamb2	Dag1
reference_singlet	Endothelial	Astrocyte	Lamb2	Itga6_Itgb1
reference_singlet	Endothelial	Astrocyte	Lamb2	Itgav_Itgb8
reference_singlet	Endothelial	Astrocyte	Lamb2	Rpsa
reference_singlet	Endothelial	Astrocyte	Lgals3bp	Itgb1
reference_singlet	Endothelial	Astrocyte	Lman1	Mcfd2
reference_singlet	Endothelial	Astrocyte	Lrpap1	Lrp1
reference_singlet	Endothelial	Astrocyte	Mfge8	Itgav
reference_singlet	Endothelial	Astrocyte	Mfge8	Itgb5
