analysis	config	metric	statistic	randomized_cohort	fixed_observed_cohort	observed	null_mean	null_median	null_q025	null_q975	n_conditional_allocations	n_at_least_observed	conditional_unadjusted_upper_tail_p	minimum_attainable_upper_tail_p	joint_n_allocations	joint_exact_upper_tail_p	joint_holm_adjusted_p	original_joint_test_family	observed_n_candidates	conditional_n_candidates_min	conditional_n_candidates_max	conditional_p_adjusted_for_multiple_testing
fixed_common	reference_singlet	lr_means	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7816091954022989	0.5	0.5	0.2347701149425287	0.7652298850574712	20	1	0.05	0.05	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lr_means	spearman_rho	GSE174574	GSE245386	0.7208277238278126	0.0	0.0	-0.7072265237922761	0.7072265237922761	20	1	0.05	0.05	200	0.04	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	expr_prod	same_direction_all_fraction	GSE174574	GSE245386	0.7298850574712644	0.5	0.5	0.2701149425287356	0.7298850574712644	20	2	0.1	0.05	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	expr_prod	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7298850574712644	0.5	0.5	0.2701149425287356	0.7298850574712644	20	2	0.1	0.05	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	expr_prod	spearman_rho	GSE174574	GSE245386	0.6599830974493549	-1.1102230246251566e-17	0.0	-0.643418199172185	0.6434181991721849	20	1	0.05	0.05	200	0.005	0.15	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	same_direction_all_fraction	GSE174574	GSE245386	0.7241379310344828	0.4999999999999999	0.5	0.28405172413793095	0.7159482758620689	20	1	0.05	0.05	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7241379310344828	0.4999999999999999	0.5	0.28405172413793095	0.7159482758620689	20	1	0.05	0.05	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lrscore	spearman_rho	GSE174574	GSE245386	0.6281552756687555	1.6653345369377347e-17	0.0	-0.6062256399392236	0.6062256399392236	20	1	0.05	0.05	200	0.01	0.25	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	same_direction_all_fraction	GSE174574	GSE245386	0.5459770114942529	0.47701149425287365	0.47701149425287354	0.3762931034482758	0.5777298850574712	20	6	0.3	0.05	200	0.225	0.75	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	same_direction_nonzero_fraction	GSE174574	GSE245386	0.572289156626506	0.5	0.5	0.3944277108433734	0.6055722891566265	20	6	0.3	0.05	200	0.225	0.75	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	magnitude_priority	spearman_rho	GSE174574	GSE245386	0.102453265290396	2.7755575615628915e-18	0.0	-0.1806365415333687	0.18063654153336867	20	6	0.3	0.05	200	0.27	0.75	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	custom_score	same_direction_all_fraction	GSE245386	GSE174574	0.7298850574712644	0.514367816091954	0.48275862068965514	0.2765804597701149	0.7387931034482759	10	2	0.2	0.1	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	custom_score	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7298850574712644	0.514367816091954	0.48275862068965514	0.2765804597701149	0.7387931034482759	10	2	0.2	0.1	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	custom_score	spearman_rho	GSE245386	GSE174574	0.6945034818798734	0.02890655076346227	-0.09266789221548699	-0.6767472613084213	0.6931606175125915	10	1	0.1	0.1	200	0.005	0.15	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lr_means	same_direction_all_fraction	GSE245386	GSE174574	0.7816091954022989	0.5126436781609196	0.45977011494252873	0.22543103448275856	0.7860632183908046	10	2	0.2	0.1	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lr_means	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7816091954022989	0.5126436781609196	0.45977011494252873	0.22543103448275856	0.7860632183908046	10	2	0.2	0.1	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lr_means	spearman_rho	GSE245386	GSE174574	0.7208277238278126	0.05403189616093419	-0.06979819447956315	-0.7119788285302296	0.7693437391084473	10	3	0.3	0.1	200	0.04	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	expr_prod	same_direction_all_fraction	GSE245386	GSE174574	0.7298850574712644	0.5074712643678161	0.4798850574712644	0.26954022988505744	0.7387931034482759	10	2	0.2	0.1	200	0.025	0.3	A_fixed_common_metrics	174	174	174	False
