count_source	config	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
raw	primary	GSE174574	GSM5319991	fixed_common_target_edges	magnitude_rank	187	29	0.15508021390374332	31	29
raw	primary	GSE174574	GSM5319991	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	37	0.19786096256684493	39	37
raw	primary	GSE174574	GSM5319992	all_reported_target_edges	magnitude_rank	379	84	0.22163588390501318	88	84
raw	primary	GSE174574	GSM5319992	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	379	110	0.29023746701846964	114	110
raw	primary	GSE174574	GSM5319992	fixed_common_target_edges	magnitude_rank	187	25	0.13368983957219252	29	25
raw	primary	GSE174574	GSM5319992	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	25	0.13368983957219252	29	25
raw	primary	GSE245386	GSM7841720	all_reported_target_edges	magnitude_rank	608	110	0.18092105263157895	132	110
raw	primary	GSE245386	GSM7841720	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	608	175	0.2878289473684211	191	175
raw	primary	GSE245386	GSM7841720	fixed_common_target_edges	magnitude_rank	187	16	0.0855614973262032	18	16
raw	primary	GSE245386	GSM7841720	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	15	0.08021390374331551	17	15
raw	primary	GSE245386	GSM7841721	all_reported_target_edges	magnitude_rank	653	108	0.16539050535987748	132	108
raw	primary	GSE245386	GSM7841721	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	653	159	0.2434915773353752	179	159
raw	primary	GSE245386	GSM7841721	fixed_common_target_edges	magnitude_rank	187	7	0.0374331550802139	9	7
raw	primary	GSE245386	GSM7841721	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	4	0.0213903743315508	6	4
raw	primary	GSE245386	GSM7841722	all_reported_target_edges	magnitude_rank	667	132	0.19790104947526238	162	132
raw	primary	GSE245386	GSM7841722	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	667	181	0.27136431784107945	201	181
raw	primary	GSE245386	GSM7841722	fixed_common_target_edges	magnitude_rank	187	12	0.06417112299465241	14	12
raw	primary	GSE245386	GSM7841722	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	6	0.03208556149732621	8	6
raw	primary	GSE245386	GSM7841723	all_reported_target_edges	magnitude_rank	751	168	0.2237017310252996	188	168
raw	primary	GSE245386	GSM7841723	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	751	190	0.2529960053262317	212	190
raw	primary	GSE245386	GSM7841723	fixed_common_target_edges	magnitude_rank	187	15	0.08021390374331551	17	15
raw	primary	GSE245386	GSM7841723	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	7	0.0374331550802139	9	7
raw	primary	GSE245386	GSM7841724	all_reported_target_edges	magnitude_rank	694	149	0.21469740634005763	166	149
raw	primary	GSE245386	GSM7841724	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	694	204	0.29394812680115273	221	204
raw	primary	GSE245386	GSM7841724	fixed_common_target_edges	magnitude_rank	187	12	0.06417112299465241	14	12
raw	primary	GSE245386	GSM7841724	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	187	8	0.0427807486631016	10	8
