dataset	sample	label_source	label	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction
GSE174574	GSM5319992	original_rule	Neutrophil	176	0.1923740558515111	0.09291349449219766	0.028495737283249827	0.33017950295952625	0.6462131474666528	473654.0	375514.0189515806	0.20719761903925515
GSE174574	GSM5319992	original_rule	OPC	6	0.21460266632998792	0.10778220196703114	0.06587689734821178	0.308876142613061	0.5534547834505897	18710.0	14023.77355898293	0.2504664051853057
GSE174574	GSM5319992	original_rule	Oligodendrocyte	297	0.11273981036512574	0.0375079229852863	0.0175553061375546	0.0839936907176828	0.5393528626756151	1632679.0	1417564.443319045	0.1317555727004237
GSE174574	GSM5319992	original_rule	Pericyte	235	0.15163021688982486	0.0935279622421856	0.021756405962118003	0.19625649617906848	0.5488397819811082	790868.0	638976.9575660785	0.19205612369437308
GSE174574	GSM5319992	original_rule	Smooth_muscle	386	0.12736666951614367	0.0601786115128827	0.04233862538702825	0.12066809531975276	0.5457121508324225	1556318.0	1327340.5180618125	0.14712769622801225
GSE174574	GSM5319992	original_rule	Unassigned	2287	0.13199013432447296	0.0668935018302655	0.0492669145015271	0.1021850313842705	0.591586942777887	8707215.0	7451666.9184947675	0.14419628796408868
GSE245386	GSM7841720	whole_brain_broad	Astrocyte	669	0.38576816305645895	0.343931191075591	0.0704618528029642	0.648642186233652	0.9687736262606894	3223066.0	2638185.218721199	0.18146720584648313
GSE245386	GSM7841720	whole_brain_broad	Astroependymal	11	0.3028104119812644	0.0024211178061765	0.00088071475009565	0.7005291561106705	0.9599754566264055	16777.0	13880.69074036263	0.1726357071966007
GSE245386	GSM7841720	whole_brain_broad	Choroid	172	0.10660301616837796	0.0612364903279971	0.029505098304541927	0.1344318149577555	0.3572236984127533	1112002.0	1022708.0239272797	0.08030019377008335
GSE245386	GSM7841720	whole_brain_broad	Dendritic	43	0.10107067032691407	0.0451228532366114	0.018124860302497152	0.13924442200078602	0.35434763600966507	523060.0	467447.3103176796	0.10632181715734412
GSE245386	GSM7841720	whole_brain_broad	Endothelial	3392	0.27903402663002175	0.13372160700945002	0.045151045013267874	0.5192211341251642	0.7690982415711497	18044678.0	15595163.61875975	0.1357471926758821
GSE245386	GSM7841720	whole_brain_broad	Ependymal	237	0.370272575340384	0.409807296282609	0.0730331226749841	0.616678726368874	0.7422179651667534	1217637.0	946790.9567119606	0.22243578610705772
GSE245386	GSM7841720	whole_brain_broad	Fibroblast	37	0.468340224624027	0.42960391871046	0.0254405792296281	0.893188855774709	0.9734872630754363	212666.0	183320.11922272603	0.13799046757485434
GSE245386	GSM7841720	whole_brain_broad	Lymphocyte	118	0.2849928174258349	0.07476842725736595	0.030749879466789948	0.5910591433395723	0.9655497551934435	677724.0	583413.0818802388	0.1391582976547402
GSE245386	GSM7841720	whole_brain_broad	Macrophage	236	0.16615263394974414	0.07211958749297095	0.045886283055907	0.19197728576616374	0.5893974574454193	1892364.0	1674022.8503596387	0.11538010110124763
GSE245386	GSM7841720	whole_brain_broad	Microglia	6709	0.15201250223561652	0.0374826898670284	0.0237551520221489	0.263732233483917	0.5595605956008206	46196928.0	42578376.19315857	0.07832884054198219
GSE245386	GSM7841720	whole_brain_broad	Monocytes	5	0.00028050632942652005	0.0002802330640932	0.0002700900135225	0.0003247989029358	0.00032566708415324	16930.0	16925.35817199427	0.0002741776731086665
GSE245386	GSM7841720	whole_brain_broad	Neuron/Other	678	0.5096640461289003	0.5508939010869525	0.0695746149509595	0.9003651960712695	0.9853225373558292	3447666.0	2809702.9376840447	0.1850420146023296
GSE245386	GSM7841720	whole_brain_broad	OPC	5	0.21318745190310806	0.0113893547965464	0.0001845481048867	0.0652427123186178	0.8042681482214898	51267.0	49838.19507035788	0.027869875936608834
GSE245386	GSM7841720	whole_brain_broad	Oligodendrocyte	2128	0.2787874172727791	0.1900002649929155	0.0372503986535417	0.506173445805843	0.7336173098643305	16793257.0	14468326.91065156	0.13844426303655322
GSE245386	GSM7841720	whole_brain_broad	Pericyte	371	0.32502756009940775	0.0948382589682731	0.0517486895430046	0.7023127587192659	0.978091550948361	1301141.0	1101436.0894978002	0.1534844498038258
GSE245386	GSM7841720	whole_brain_broad	Smooth_muscle	393	0.1976742961695583	0.074971228351606	0.037029951458699	0.263602781848085	0.7732237080009855	3163386.0	2831898.101255903	0.10478895042972847
GSE245386	GSM7841720	whole_brain_broad	Tanycyte	2	0.0003698892276683	0.0003698892276683	0.0003341965940629	0.0004055818612737	0.00043413596815802	1433.0	1432.488735656926	0.00035677902517372573
GSE245386	GSM7841720	original_rule	Astrocyte	748	0.36531386098978963	0.363888438690789	0.08326365399901862	0.5790835494279221	0.8206777395992335	3693507.0	2915454.7423512302	0.21065406337358228
GSE245386	GSM7841720	original_rule	Choroid	303	0.35131302414076754	0.2402442890775	0.0551230555782022	0.6330093526773605	0.9538440528692812	1380623.0	1124192.5726831437	0.18573530016293827
GSE245386	GSM7841720	original_rule	Endothelial	1958	0.11651303237522692	0.051451341000048195	0.03627600707282652	0.10888857820550875	0.4678801048091095	15113629.0	13831542.684736531	0.08482981256609312
GSE245386	GSM7841720	original_rule	Ependymal	313	0.421017207194518	0.457686315394522	0.126680870246961	0.640241622681743	0.8635674041628585	1399816.0	1036197.8110362403	0.2597614179033242
GSE245386	GSM7841720	original_rule	Erythroid	214	0.3761096097695409	0.3535649876827275	0.1384259522731415	0.5677360406376608	0.8614456027181301	845471.0	683558.775977856	0.19150535502949717
GSE245386	GSM7841720	original_rule	Fibroblast	30	0.2568689121673111	0.2475468605925305	0.018079530575039297	0.4197807336405712	0.6303524334755798	206653.0	185660.75382244083	0.10158210225624198
GSE245386	GSM7841720	original_rule	Lymphocyte	97	0.1341196774408309	0.0488540266735639	0.0282192769030513	0.178230753145513	0.5516506478466925	750601.0	659998.7815265636	0.12070623203730935
GSE245386	GSM7841720	original_rule	Microglia	2309	0.05822566222858607	0.0264415025509414	0.0204725359056756	0.0375788620654561	0.24082306348305516	19635891.0	18974677.70891325	0.03367370959060367
GSE245386	GSM7841720	original_rule	Myeloid	699	0.1730624195829798	0.0639244692405667	0.03269497129689605	0.21178535868127651	0.8284499431536636	4954801.0	4524974.538186045	0.08674949040616453
GSE245386	GSM7841720	original_rule	Neuron	244	0.16678844774452017	0.0472524197666754	0.032369411520682206	0.259514367060548	0.6119783799379734	2797724.0	2482500.2608594755	0.11267149266350951
GSE245386	GSM7841720	original_rule	Neutrophil	47	0.20983263538870908	0.148230767461864	0.051182927991430205	0.2788775630644905	0.6773823917126917	185262.0	166264.94556092145	0.10254155973204737
GSE245386	GSM7841720	original_rule	OPC	66	0.42036227646864666	0.4524330172873985	0.1811860490763075	0.6372377073175253	0.805336440794621	246397.0	180896.0523576436	0.26583500465653553
GSE245386	GSM7841720	original_rule	Oligodendrocyte	1857	0.26487154377621736	0.160544963452126	0.0352899091661183	0.477014812638453	0.7024353568442734	15140788.0	13235890.488668464	0.1258123098567615
GSE245386	GSM7841720	original_rule	Pericyte	487	0.2611559152664872	0.17858340776291	0.06100849301917315	0.413712797685909	0.7401045364771679	2249972.0	1788565.5656349787	0.2050720783925406
GSE245386	GSM7841720	original_rule	Smooth_muscle	763	0.41609017364264606	0.446027396395879	0.07673573945126311	0.6402263078142221	0.9204970142469217	3913359.0	3052258.162222146	0.2200413603193201
GSE245386	GSM7841720	original_rule	Unassigned	5071	0.28701310015415876	0.183897135590802	0.0319004990218931	0.4990934683294975	0.8354490720625385	25377488.0	22140234.30032978	0.1275639929243675
GSE245386	GSM7841721	whole_brain_broad	Astrocyte	549	0.18768100786205758	0.0807880755101106	0.0452399453050572	0.253154583705669	0.7448755697002977	3935392.0	3545320.00660279	0.09911896791913233
GSE245386	GSM7841721	whole_brain_broad	Astroependymal	9	0.2643533431450535	0.127620536174695	0.0726571430281955	0.222138891736076	0.8116911504707368	15057.0	13403.201045328537	0.10983588727312632
GSE245386	GSM7841721	whole_brain_broad	Choroid	135	0.0894626804640609	0.0577051178847302	0.03626738059706535	0.09700031049555954	0.3282588059440572	978273.0	872062.010976841	0.10856988695707537
GSE245386	GSM7841721	whole_brain_broad	Dendritic	41	0.12771205326283272	0.0701863576554826	0.0358750388193146	0.204655780266234	0.375221146399849	513746.0	451793.4520589006	0.12058984000089423
GSE245386	GSM7841721	whole_brain_broad	Endothelial	2302	0.11867910313672747	0.057506550372850504	0.0439744943082443	0.09564753771597645	0.5193829353514783	16619086.0	15354595.903940089	0.07608662089238305
GSE245386	GSM7841721	whole_brain_broad	Ependymal	83	0.09804178936497907	0.0659084070322986	0.048655206847650054	0.110931523270993	0.18767462987478123	978231.0	886629.2252538512	0.09364022888882984
GSE245386	GSM7841721	whole_brain_broad	Fibroblast	41	0.2425035594142567	0.10338785461092	0.0481705664452999	0.440221454479978	0.850321258756232	329485.0	295239.130502089	0.10393756771297935
GSE245386	GSM7841721	whole_brain_broad	Lymphocyte	142	0.1416514238924993	0.054193514377653	0.03800906682795147	0.11787082717787425	0.7296066199775181	943334.0	841911.4810594785	0.1075149617638308
GSE245386	GSM7841721	whole_brain_broad	Macrophage	217	0.09896800881333948	0.0763763642529581	0.0564214144779949	0.111817762872054	0.21434804525756276	1951294.0	1756497.1821460244	0.09982955815677985
GSE245386	GSM7841721	whole_brain_broad	Microglia	4356	0.05636407383957398	0.032884879754277	0.02683424573028765	0.04280936303951588	0.218287654573475	45320964.0	42768664.579733476	0.05631608851626646
GSE245386	GSM7841721	whole_brain_broad	Monocytes	20	0.11230432948570439	0.0029357178846671	0.00093573000129705	0.04905016987486445	0.5674533741280113	91729.0	81263.06291796897	0.11409627361064689
GSE245386	GSM7841721	whole_brain_broad	Neuron/Other	184	0.2577261014669098	0.0619817971649051	0.0458631510572135	0.2199838286624825	0.9654653377778603	1926179.0	1768227.498671764	0.08200250409138299
GSE245386	GSM7841721	whole_brain_broad	OEC	1	8.59513018983854e-05	8.59513018983854e-05	8.59513018983854e-05	8.59513018983854e-05	8.59513018983854e-05	15174.0	15172.6986278135	8.576329158438423e-05
GSE245386	GSM7841721	whole_brain_broad	OPC	1	0.0001064426618972	0.0001064426618972	0.0001064426618972	0.0001064426618972	0.0001064426618972	4637.0	4636.50745697658	0.00010622019051542697
GSE245386	GSM7841721	whole_brain_broad	Oligodendrocyte	1290	0.10012787194885986	0.0477396527057405	0.03799583357283275	0.0759847304511587	0.4411747063843183	17060107.0	15731471.610930061	0.0778796633028116
GSE245386	GSM7841721	whole_brain_broad	Pericyte	289	0.13661272844309041	0.067411296922955	0.0527269238220645	0.119386906550071	0.6019168181543099	1393278.0	1238887.76262786	0.11081079107840641
GSE245386	GSM7841721	whole_brain_broad	Smooth_muscle	356	0.11759718605503953	0.05405633718018945	0.041689363980754804	0.1105644093677705	0.3910375627682723	3893664.0	3534707.0703312284	0.09219001168790408
GSE245386	GSM7841721	whole_brain_broad	Tanycyte	1	9.18000571156755e-05	9.18000571156755e-05	9.18000571156755e-05	9.18000571156755e-05	9.18000571156755e-05	14966.0	14964.629148698	9.159770827205094e-05
GSE245386	GSM7841721	original_rule	Astrocyte	537	0.16788366896291473	0.0798025804697461	0.0448717026629138	0.237496583267639	0.5565972644458158	4240209.0	3711160.2082863236	0.12476950822793786
GSE245386	GSM7841721	original_rule	Choroid	180	0.27979392374951534	0.08547814617155114	0.043292547161387425	0.43511073546032397	0.9642669819417707	1155314.0	950520.4205448725	0.1772622676217266
GSE245386	GSM7841721	original_rule	Endothelial	1860	0.07444903083265515	0.052749773448806506	0.042711639794715275	0.07298463067068373	0.17043696537337516	15721775.0	14535885.063876482	0.0754297740632669
GSE245386	GSM7841721	original_rule	Ependymal	89	0.12243011704212124	0.0662418467161097	0.0481525954806548	0.120335166473767	0.3975985040096329	1036194.0	931040.7648069281	0.10148025870934585
GSE245386	GSM7841721	original_rule	Erythroid	60	0.19255590516503587	0.049434921200306806	0.0371722464206941	0.18575241807039675	0.7565788388261065	520110.0	450786.0210946224	0.13328714869042624
GSE245386	GSM7841721	original_rule	Fibroblast	41	0.1686091071330309	0.0975433743318577	0.0481705664452999	0.236344650291117	0.534033727494173	377430.0	336459.48832827195	0.1085512854614844
GSE245386	GSM7841721	original_rule	Lymphocyte	125	0.10181697100071127	0.0511039485818728	0.0377522710620727	0.116883650189326	0.3602302013018738	1005531.0	880432.7449207887	0.12441014258059802
GSE245386	GSM7841721	original_rule	Microglia	1963	0.03638650352918082	0.0307340338830818	0.025691961198282	0.037628298476975	0.060860176718449316	20198727.0	19475341.802295312	0.03581340535493582
GSE245386	GSM7841721	original_rule	Myeloid	561	0.11611289795290361	0.0548923525958473	0.0373208516600911	0.104985164253205	0.457937837633224	5150427.0	4764073.028812941	0.07501396897520518
GSE245386	GSM7841721	original_rule	Neuron	119	0.0794752850665761	0.0490893441213972	0.0415569357161955	0.0627555021662046	0.17484748825644075	1767379.0	1641373.7868761448	0.07129495887631077
GSE245386	GSM7841721	original_rule	Neutrophil	25	0.07870556445485687	0.0197365467077973	0.0010965514924638	0.0537725941850268	0.36604337356512107	143798.0	127346.4797932161	0.11440715591860728
GSE245386	GSM7841721	original_rule	OPC	29	0.26132163366598193	0.296802413759907	0.0849178416935891	0.380339395657805	0.48473288972482004	202868.0	161790.28050754953	0.20248496309151998
GSE245386	GSM7841721	original_rule	Oligodendrocyte	1213	0.09807944914253755	0.0468549617223247	0.0376596334707398	0.0714041158607823	0.45715555921180584	16215267.0	15045654.113081228	0.07213035017670522
GSE245386	GSM7841721	original_rule	Pericyte	355	0.14809951723374976	0.0791023468283196	0.05515724502692215	0.197056653337976	0.42773108629521955	1986842.0	1676063.5640687584	0.15641829392132922
GSE245386	GSM7841721	original_rule	Smooth_muscle	348	0.14345963437433942	0.053516130539821447	0.041501873121316875	0.11371259893250975	0.6074574268420255	3832375.0	3421114.180682574	0.10731225919108278
GSE245386	GSM7841721	original_rule	Unassigned	2512	0.10476895142026758	0.037553119636400054	0.028982508644630027	0.0736264829926298	0.5014777686112206	22430350.0	21066405.066055227	0.06080800941335174
