dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	C1qa	0.6515646893974961	0.6515646893974961	0.0	1.3577767398412188	6.175569228656947e-11	0.746417656372585	7.329429411131646e-11
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Lyz2	0.1134983652498828	0.1134983652498828	0.0	0.1662774404483879	3.872498183219545e-05	0.0960767550564137	4.361687786444988e-05
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Spp1	0.0060719290051377	0.0060719290051377	0.0	0.0060719290051377	0.0012034992533953	0.0043799574928184	0.0011505888104232
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Timp3	0.7664642690331861	0.7664642690331861	0.6062587575899273	7.178888369920681	7.13591286114883	1.4744690113195351	1.502665709543641
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Ptn	0.918729565623572	0.918729565623572	0.8313872022419703	10.27884166277459	10.06045548875566	2.131602065535327	2.155807095251557
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Plat	0.8113031293788212	0.8113031293788212	0.6286781877627449	6.052312003736645	6.036113029542726	1.4760846737315114	1.5074377148407994
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Ptprz1	0.0378327884166277	0.0378327884166277	0.0	0.0420364315740308	1.1924238113793202e-14	0.0275117439980267	1.24179409644844e-14
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Lrp1	0.0551144325081738	0.0551144325081738	0.0	0.0574497898178422	6.639733696336034e-15	0.0433615166620279	8.014594804925258e-15
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Itga5	0.2209248014946273	0.2209248014946273	0.0733302195235871	0.348435310602523	0.3290206186926067	0.1892043424049222	0.1884130357215959
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Itgb1	0.8444652031761138	0.8444652031761138	0.6791219056515844	3.618402615600248	3.5183785937600143	1.343396124738898	1.356942359755061
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Col4a1	0.8267164876226333	0.8267164876226333	0.6450256889304243	3.283045305931863	3.2597799132891168	1.257273046546577	1.2858272327994922
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	Itga3	0.0803362914525922	0.0803362914525922	0.0144792153199439	0.1027557216254085	0.1009682600323582	0.0626107949063599	0.0643566163892541
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Slc1a2	0.9374999999999972	0.9374999999999972	0.8402777777777753	66.80902777777777	63.86787359344828	3.9682236262718016	3.9779002244879904
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Slc1a3	0.8576388888888864	0.8576388888888864	0.7430555555555535	23.07638888888888	22.26841695331553	2.7185399746402186	2.791762140901929
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Aldh1l1	0.5729166666666652	0.5729166666666652	0.3749999999999991	2.000000000000001	1.916106170363469	0.8503749152610544	0.8931988878800647
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Pecam1	0.2118055555555552	0.2118055555555552	0.0347222222222222	0.3402777777777775	0.1889948348859821	0.2393286772256797	0.1359760210738695
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Cdh5	0.1145833333333333	0.1145833333333333	0.0069444444444444	0.1527777777777777	0.0604424441168075	0.1127108704402288	0.0461350213417273
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Kdr	0.0555555555555555	0.0555555555555555	0.0069444444444444	0.0659722222222222	0.0245951434848276	0.0333512108915988	0.0179881675755576
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Ptprc	0.2048611111111108	0.2048611111111108	0.0347222222222222	0.7673611111111104	0.5592243298493684	0.2462530966550929	0.1054291256657473
GSE245386	GSM7841723	MCAO	primary	Astrocyte	Tyrobp	0.4131944444444435	0.4131944444444435	0.0381944444444444	1.229166666666668	0.5440681835496723	0.5565456452312135	0.1177865825894025
