sender	receiver	ligand	receptor	component_role	cell_type	gene	sample	condition	gene_in_submitted_features	mean_logcp10k	detection_fraction
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755210	Sham	True	0.0731571325810923	0.0465807730426164
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755212	Sham	True	0.0791739494147913	0.051628276409849
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755214	Sham	True	0.0647028005675807	0.0324963072378138
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755192	MCAO	True	0.1105839520799873	0.108433734939759
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755194	MCAO	True	0.0782320011739732	0.0887096774193548
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755196	MCAO	True	0.1111891886021697	0.1147540983606557
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755210	Sham	True	0.0202934408650816	0.0186046511627906
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755212	Sham	True	0.0281378654864427	0.0246305418719211
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itga3	GSM9755214	Sham	True	0.0830789041077004	0.04
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755192	MCAO	True	1.0336676473675823	0.6024096385542169
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755194	MCAO	True	1.0861177083564124	0.5806451612903226
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755196	MCAO	True	0.9393017882997868	0.5327868852459017
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755210	Sham	True	1.1507699362086157	0.6511627906976745
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755212	Sham	True	0.8817039662778097	0.5270935960591133
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	receptor	Endothelial	Itgb1	GSM9755214	Sham	True	0.4575151481403731	0.2666666666666666
