config	dataset	sample	condition	context_cell_type	n_cells
reference_singlet	GSE174574	GSM5319991	MCAO	Astrocyte	537
reference_singlet	GSE174574	GSM5319991	MCAO	Smooth_muscle	479
reference_singlet	GSE174574	GSM5319991	MCAO	Oligodendrocyte	380
reference_singlet	GSE174574	GSM5319991	MCAO	Pericyte	296
reference_singlet	GSE174574	GSM5319991	MCAO	Neutrophil	250
reference_singlet	GSE174574	GSM5319991	MCAO	Erythroid	115
reference_singlet	GSE174574	GSM5319991	MCAO	Fibroblast	89
reference_singlet	GSE174574	GSM5319991	MCAO	Ependymal	84
reference_singlet	GSE174574	GSM5319991	MCAO	Lymphocyte	51
reference_singlet	GSE174574	GSM5319992	MCAO	Endothelial	1317
reference_singlet	GSE174574	GSM5319992	MCAO	Myeloid	954
reference_singlet	GSE174574	GSM5319992	MCAO	Microglia	817
reference_singlet	GSE174574	GSM5319992	MCAO	Choroid	497
reference_singlet	GSE174574	GSM5319992	MCAO	Astrocyte	397
reference_singlet	GSE174574	GSM5319992	MCAO	Smooth_muscle	349
reference_singlet	GSE174574	GSM5319992	MCAO	Oligodendrocyte	276
reference_singlet	GSE174574	GSM5319992	MCAO	Pericyte	227
reference_singlet	GSE174574	GSM5319992	MCAO	Neutrophil	165
reference_singlet	GSE174574	GSM5319992	MCAO	Erythroid	94
reference_singlet	GSE174574	GSM5319992	MCAO	Fibroblast	65
reference_singlet	GSE174574	GSM5319992	MCAO	Ependymal	59
reference_singlet	GSE174574	GSM5319992	MCAO	Lymphocyte	36
reference_singlet	GSE245386	GSM7841720	Sham	Microglia	2309
reference_singlet	GSE245386	GSM7841720	Sham	Oligodendrocyte	1857
reference_singlet	GSE245386	GSM7841720	Sham	Endothelial	1712
reference_singlet	GSE245386	GSM7841720	Sham	Smooth_muscle	763
reference_singlet	GSE245386	GSM7841720	Sham	Myeloid	699
reference_singlet	GSE245386	GSM7841720	Sham	Pericyte	487
reference_singlet	GSE245386	GSM7841720	Sham	Astrocyte	404
reference_singlet	GSE245386	GSM7841720	Sham	Ependymal	313
reference_singlet	GSE245386	GSM7841720	Sham	Choroid	303
reference_singlet	GSE245386	GSM7841720	Sham	Neuron	244
reference_singlet	GSE245386	GSM7841720	Sham	Erythroid	214
reference_singlet	GSE245386	GSM7841720	Sham	Lymphocyte	97
reference_singlet	GSE245386	GSM7841720	Sham	OPC	66
reference_singlet	GSE245386	GSM7841720	Sham	Neutrophil	47
reference_singlet	GSE245386	GSM7841720	Sham	Fibroblast	30
reference_singlet	GSE245386	GSM7841721	Sham	Microglia	1946
reference_singlet	GSE245386	GSM7841721	Sham	Endothelial	1765
reference_singlet	GSE245386	GSM7841721	Sham	Oligodendrocyte	1159
reference_singlet	GSE245386	GSM7841721	Sham	Myeloid	550
reference_singlet	GSE245386	GSM7841721	Sham	Astrocyte	443
reference_singlet	GSE245386	GSM7841721	Sham	Smooth_muscle	324
reference_singlet	GSE245386	GSM7841721	Sham	Pericyte	314
reference_singlet	GSE245386	GSM7841721	Sham	Choroid	173
reference_singlet	GSE245386	GSM7841721	Sham	Neuron	118
reference_singlet	GSE245386	GSM7841721	Sham	Lymphocyte	114
reference_singlet	GSE245386	GSM7841721	Sham	Ependymal	85
reference_singlet	GSE245386	GSM7841721	Sham	Erythroid	50
reference_singlet	GSE245386	GSM7841721	Sham	Fibroblast	39
reference_singlet	GSE245386	GSM7841722	Sham	Endothelial	2141
reference_singlet	GSE245386	GSM7841722	Sham	Microglia	1750
reference_singlet	GSE245386	GSM7841722	Sham	Oligodendrocyte	794
reference_singlet	GSE245386	GSM7841722	Sham	Myeloid	477
reference_singlet	GSE245386	GSM7841722	Sham	Smooth_muscle	384
reference_singlet	GSE245386	GSM7841722	Sham	Astrocyte	287
reference_singlet	GSE245386	GSM7841722	Sham	Pericyte	283
reference_singlet	GSE245386	GSM7841722	Sham	Choroid	147
reference_singlet	GSE245386	GSM7841722	Sham	Neuron	133
reference_singlet	GSE245386	GSM7841722	Sham	Ependymal	118
reference_singlet	GSE245386	GSM7841722	Sham	Erythroid	78
reference_singlet	GSE245386	GSM7841722	Sham	Lymphocyte	62
reference_singlet	GSE245386	GSM7841722	Sham	Fibroblast	47
reference_singlet	GSE245386	GSM7841723	MCAO	Endothelial	1837
