baseline_dataset	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
GSE245386	GSE332910	GSM9755212	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	25	0.13368983957219252	29	25
GSE245386	GSE332910	GSM9755214	pairwise_complete	magnitude_rank	187	39	0.20855614973262032	43	39
GSE245386	GSE332910	GSM9755214	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	54	0.2887700534759358	58	54
GSE245386	GSE245386	GSM7841720	all_three_cohorts_complete	magnitude_rank	99	0	0.0	2	2
GSE245386	GSE245386	GSM7841720	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE245386	GSE245386	GSM7841721	all_three_cohorts_complete	magnitude_rank	99	1	0.010101010101010102	2	2
GSE245386	GSE245386	GSM7841721	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE245386	GSE245386	GSM7841722	all_three_cohorts_complete	magnitude_rank	99	2	0.020202020202020204	4	2
GSE245386	GSE245386	GSM7841722	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE245386	GSE245386	GSM7841723	all_three_cohorts_complete	magnitude_rank	99	6	0.06060606060606061	8	6
GSE245386	GSE245386	GSM7841723	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	1	0.010101010101010102	2	2
GSE245386	GSE245386	GSM7841724	all_three_cohorts_complete	magnitude_rank	99	5	0.050505050505050504	7	5
GSE245386	GSE245386	GSM7841724	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	1	0.010101010101010102	2	2
GSE245386	GSE332910	GSM9755192	all_three_cohorts_complete	magnitude_rank	99	1	0.010101010101010102	2	2
GSE245386	GSE332910	GSM9755192	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	0	0.0	2	2
GSE245386	GSE332910	GSM9755194	all_three_cohorts_complete	magnitude_rank	99	3	0.030303030303030304	7	3
GSE245386	GSE332910	GSM9755194	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	6	2
GSE245386	GSE332910	GSM9755196	all_three_cohorts_complete	magnitude_rank	99	3	0.030303030303030304	5	3
GSE245386	GSE332910	GSM9755196	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	2	0.020202020202020204	4	2
GSE245386	GSE332910	GSM9755210	all_three_cohorts_complete	magnitude_rank	99	4	0.04040404040404041	6	4
GSE245386	GSE332910	GSM9755210	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	3	0.030303030303030304	5	3
GSE245386	GSE332910	GSM9755212	all_three_cohorts_complete	magnitude_rank	99	9	0.09090909090909091	11	9
GSE245386	GSE332910	GSM9755212	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	5	0.050505050505050504	7	5
GSE245386	GSE332910	GSM9755214	all_three_cohorts_complete	magnitude_rank	99	14	0.1414141414141414	16	14
GSE245386	GSE332910	GSM9755214	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	21	0.21212121212121213	23	21
