Package	Version	LibPath
ROCR	1.0-12	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RSpectra	0.16-2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Rcpp	1.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppAnnoy	0.0.23	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppArmadillo	15.6.0-1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppEigen	0.3.4.0.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppHNSW	0.7.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppML	0.3.7.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppParallel	6.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppProgress	0.4.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
RcppTOML	0.2.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Rtsne	0.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
S4Arrays	1.12.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
S4Vectors	0.50.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
S7	0.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ScaledMatrix	1.20.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Seqinfo	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
Seurat	5.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
SeuratObject	5.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
SingleCellExperiment	1.34.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
SparseArray	1.12.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
StanHeaders	2.39.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
SummarizedExperiment	1.42.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
WriteXLS	6.8.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
XVector	0.52.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
abind	1.4-8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
askpass	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
assorthead	1.6.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
backports	1.5.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
base64enc	0.1-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
beachmat	2.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
beeswarm	0.4.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
bitops	1.1-0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
bluster	1.22.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
bslib	0.12.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
caTools	1.18.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cachem	1.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
callr	3.8.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
celda	1.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
checkmate	2.3.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
circlize	0.4.18	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cli	3.6.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
clue	0.3-68	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
colorspace	2.1-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
combinat	0.0-8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
commonmark	2.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cowplot	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
cpp11	0.5.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
crayon	1.5.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
crosstalk	1.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
curl	8.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
data.table	1.18.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dbscan	1.2.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
decontX	1.10.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
deldir	2.0-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dendextend	1.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
desc	1.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
digest	0.6.39	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
distributional	0.9.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
doParallel	1.0.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dotCall64	1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dplyr	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
dqrng	0.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
edgeR	4.10.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
enrichR	3.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
evaluate	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
farver	2.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fastDummies	1.7.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fastmap	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fitdistrplus	1.2-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fontawesome	0.5.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
foreach	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
formatR	1.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
fs	2.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
futile.logger	1.4.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
futile.options	1.0.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
future	1.75.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
future.apply	1.20.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
generics	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggbeeswarm	0.7.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggdendro	0.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggplot2	4.0.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggrepel	0.9.8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
ggridges	0.5.7	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
globals	0.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
glue	1.8.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
goftest	1.2-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
gplots	3.3.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
gridExtra	2.3.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
gtable	0.3.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
gtools	3.9.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary
