source	target	ligand	receptor
Endothelial	Myeloid	Icam2	Itgam_Itgb2
Endothelial	Myeloid	Lamb2	Itga6_Itgb1
Endothelial	Myeloid	Pros1	Axl
Endothelial	Myeloid	Pros1	Mertk
Endothelial	Myeloid	Ptn	Ncl
Endothelial	Myeloid	Ptn	Sdc3
Endothelial	Myeloid	Ptn	Sdc4
Endothelial	Myeloid	Tgfb1	Tgfbr1_Tgfbr2
Endothelial	Myeloid	Tgfb2	Tgfbr1_Tgfbr2
Endothelial	Oligodendrocyte	Entpd1	Adora1
Endothelial	Oligodendrocyte	Fn1	Itgav_Itgb1
Endothelial	Oligodendrocyte	Gas6	Tyro3
Endothelial	Oligodendrocyte	Grn	Sort1
Endothelial	Oligodendrocyte	Jam2	Itgav_Itgb1
Endothelial	Oligodendrocyte	Lamb2	Itga6_Itgb1
Endothelial	Oligodendrocyte	Lamb2	Itga6_Itgb4
Endothelial	Oligodendrocyte	Pros1	Tyro3
Endothelial	Oligodendrocyte	Psap	Gpr37
Endothelial	Oligodendrocyte	Ptn	Ncl
Endothelial	Pericyte	Agrn	Dag1
Endothelial	Pericyte	App	Tnfrsf21
Endothelial	Pericyte	Col4a1	Itga1_Itgb1
Endothelial	Pericyte	Col4a2	Itga1_Itgb1
Endothelial	Pericyte	Cxcl12	Ackr3
Endothelial	Pericyte	Dll4	Notch1
Endothelial	Pericyte	Dll4	Notch3
Endothelial	Pericyte	Edn1	Ednra
Endothelial	Pericyte	Entpd1	Adora2a
Endothelial	Pericyte	Gas6	Axl
Endothelial	Pericyte	Lamb2	Dag1
Endothelial	Pericyte	Lamb2	Itga6_Itgb1
Endothelial	Pericyte	Mif	Ackr3
Endothelial	Pericyte	Pros1	Axl
Endothelial	Pericyte	Ptn	Ncl
Endothelial	Pericyte	Ptn	Sdc2
Endothelial	Pericyte	Ptn	Sdc3
Endothelial	Pericyte	Sema7a	Itga1_Itgb1
Endothelial	Smooth_muscle	Agrn	Dag1
Endothelial	Smooth_muscle	App	Cd74
Endothelial	Smooth_muscle	Col4a1	Itga1_Itgb1
Endothelial	Smooth_muscle	Col4a2	Itga1_Itgb1
Endothelial	Smooth_muscle	Cxcl12	Ackr3
Endothelial	Smooth_muscle	Dll4	Notch1
Endothelial	Smooth_muscle	Dll4	Notch2
Endothelial	Smooth_muscle	Dll4	Notch3
Endothelial	Smooth_muscle	Edn1	Ednra
Endothelial	Smooth_muscle	Fn1	Itgav_Itgb1
Endothelial	Smooth_muscle	Gas6	Axl
Endothelial	Smooth_muscle	Gas6	Mertk
Endothelial	Smooth_muscle	Grn	Sort1
Endothelial	Smooth_muscle	Jam2	Itgav_Itgb1
Endothelial	Smooth_muscle	Lamb2	Dag1
Endothelial	Smooth_muscle	Lamb2	Itga7_Itgb1
Endothelial	Smooth_muscle	Mif	Ackr3
Endothelial	Smooth_muscle	Pros1	Axl
Endothelial	Smooth_muscle	Pros1	Mertk
Endothelial	Smooth_muscle	Ptn	Ncl
Endothelial	Smooth_muscle	Ptn	Sdc2
Endothelial	Smooth_muscle	Ptn	Sdc4
Endothelial	Smooth_muscle	Sema7a	Itga1_Itgb1
Ependymal	Astrocyte	Col4a2	Itgav_Itgb8
Ependymal	Astrocyte	Col9a3	Itgav_Itgb8
Ependymal	Astrocyte	Fn1	Itgav_Itgb1
Ependymal	Astrocyte	Fn1	Itgav_Itgb8
Ependymal	Astrocyte	Gas6	Axl
Ependymal	Astrocyte	Gas6	Mertk
Ependymal	Astrocyte	Jam2	Itgav_Itgb1
Ependymal	Astrocyte	Lamb2	Dag1
Ependymal	Astrocyte	Lamb2	Itga6_Itgb1
