source	target	ligand	receptor
Smooth_muscle	Astrocyte	Vtn	Itgav_Itgb5
Smooth_muscle	Astrocyte	Vtn	Itgav_Itgb8
Smooth_muscle	Endothelial	Agrn	Dag1
Smooth_muscle	Endothelial	Angpt2	Tek
Smooth_muscle	Endothelial	Hspg2	Dag1
Smooth_muscle	Endothelial	Jag1	Notch1
Smooth_muscle	Endothelial	Jag1	Notch4
Smooth_muscle	Endothelial	Lama5	Dag1
Smooth_muscle	Endothelial	Lama5	Itga6_Itgb1
Smooth_muscle	Endothelial	Lamb2	Dag1
Smooth_muscle	Endothelial	Lamb2	Itga6_Itgb1
Smooth_muscle	Endothelial	Lamc1	Dag1
Smooth_muscle	Endothelial	Lamc1	Itga6_Itgb1
Smooth_muscle	Endothelial	Ptn	Ncl
Smooth_muscle	Endothelial	Ptn	Sdc3
Smooth_muscle	Endothelial	Wnt5b	Fzd4
Smooth_muscle	Ependymal	Agrn	Dag1
Smooth_muscle	Ependymal	Fgf1	Fgfr1
Smooth_muscle	Ependymal	Hspg2	Dag1
Smooth_muscle	Ependymal	Jag1	Notch1
Smooth_muscle	Ependymal	Jag1	Notch2
Smooth_muscle	Ependymal	Lama5	Dag1
Smooth_muscle	Ependymal	Lamb2	Dag1
Smooth_muscle	Ependymal	Lamc1	Dag1
Smooth_muscle	Ependymal	Psap	Gpr37l1
Smooth_muscle	Ependymal	Ptn	Ncl
Smooth_muscle	Ependymal	Ptn	Ptprz1
Smooth_muscle	Ependymal	Ptn	Sdc2
Smooth_muscle	Ependymal	Ptn	Sdc4
Smooth_muscle	Fibroblast	Agrn	Dag1
Smooth_muscle	Fibroblast	App	Cd74
Smooth_muscle	Fibroblast	Fgf1	Fgfr1
Smooth_muscle	Fibroblast	Fn1	Itgav_Itgb1
Smooth_muscle	Fibroblast	Gas6	Axl
Smooth_muscle	Fibroblast	Hspg2	Dag1
Smooth_muscle	Fibroblast	Jag1	Notch2
Smooth_muscle	Fibroblast	Lama5	Dag1
Smooth_muscle	Fibroblast	Lamb2	Dag1
Smooth_muscle	Fibroblast	Lamc1	Dag1
Smooth_muscle	Fibroblast	Pdgfa	Pdgfra
Smooth_muscle	Fibroblast	Pdgfa	Pdgfrb
Smooth_muscle	Fibroblast	Pdgfc	Pdgfra
Smooth_muscle	Fibroblast	Pros1	Axl
Smooth_muscle	Fibroblast	Ptn	Ncl
Smooth_muscle	Fibroblast	Ptn	Sdc2
Smooth_muscle	Fibroblast	Ptn	Sdc4
Smooth_muscle	Fibroblast	Tgfb1	Tgfbr1_Tgfbr2
Smooth_muscle	Fibroblast	Tgfb2	Tgfbr1_Tgfbr2
Smooth_muscle	Fibroblast	Tgfb3	Tgfbr1_Tgfbr2
Smooth_muscle	Fibroblast	Vtn	Itgav_Itgb1
Smooth_muscle	Fibroblast	Vtn	Itgav_Itgb5
Smooth_muscle	Microglia	App	Cd74
Smooth_muscle	Microglia	App	Tnfrsf21
Smooth_muscle	Microglia	Entpd1	Adora3
Smooth_muscle	Microglia	Fn1	Itgav_Itgb1
Smooth_muscle	Microglia	Gas6	Mertk
Smooth_muscle	Microglia	Jag1	Notch2
Smooth_muscle	Microglia	Jam3	Itgam_Itgb2
Smooth_muscle	Microglia	Lama5	Itga6_Itgb1
Smooth_muscle	Microglia	Lamb2	Itga6_Itgb1
Smooth_muscle	Microglia	Lamc1	Itga6_Itgb1
Smooth_muscle	Microglia	Pros1	Mertk
Smooth_muscle	Microglia	Ptn	Ncl
Smooth_muscle	Microglia	Rarres2	Cmklr1
Smooth_muscle	Microglia	Tgfb1	Tgfbr1_Tgfbr2
Smooth_muscle	Microglia	Tgfb2	Tgfbr1_Tgfbr2
Smooth_muscle	Microglia	Tgfb3	Tgfbr1_Tgfbr2
Smooth_muscle	Microglia	Vtn	Itgav_Itgb1
Smooth_muscle	Microglia	Vtn	Itgav_Itgb5
Smooth_muscle	Myeloid	App	Cd74
Smooth_muscle	Myeloid	Gas6	Axl
Smooth_muscle	Myeloid	Gas6	Mertk
Smooth_muscle	Myeloid	Jag1	Notch2
Smooth_muscle	Myeloid	Jam3	Itgam_Itgb2
Smooth_muscle	Myeloid	Lama5	Itga6_Itgb1
Smooth_muscle	Myeloid	Lamb2	Itga6_Itgb1
Smooth_muscle	Myeloid	Lamc1	Itga6_Itgb1
Smooth_muscle	Myeloid	Pros1	Axl
Smooth_muscle	Myeloid	Pros1	Mertk
Smooth_muscle	Myeloid	Ptn	Ncl
Smooth_muscle	Myeloid	Ptn	Sdc3
Smooth_muscle	Myeloid	Ptn	Sdc4
Smooth_muscle	Myeloid	Rarres2	Cmklr1
Smooth_muscle	Myeloid	Tgfb1	Tgfbr1_Tgfbr2
Smooth_muscle	Myeloid	Tgfb2	Tgfbr1_Tgfbr2
Smooth_muscle	Myeloid	Tgfb3	Tgfbr1_Tgfbr2
Smooth_muscle	Oligodendrocyte	Entpd1	Adora1
Smooth_muscle	Oligodendrocyte	Fgf1	Fgfr2
Smooth_muscle	Oligodendrocyte	Fn1	Itgav_Itgb1
Smooth_muscle	Oligodendrocyte	Gas6	Tyro3
Smooth_muscle	Oligodendrocyte	Grn	Sort1
Smooth_muscle	Oligodendrocyte	Lama5	Itga6_Itgb1
Smooth_muscle	Oligodendrocyte	Lama5	Itga6_Itgb4
Smooth_muscle	Oligodendrocyte	Lamb2	Itga6_Itgb1
Smooth_muscle	Oligodendrocyte	Lamb2	Itga6_Itgb4
Smooth_muscle	Oligodendrocyte	Lamc1	Itga6_Itgb1
Smooth_muscle	Oligodendrocyte	Lamc1	Itga6_Itgb4
Smooth_muscle	Oligodendrocyte	Pros1	Tyro3
Smooth_muscle	Oligodendrocyte	Psap	Gpr37
Smooth_muscle	Oligodendrocyte	Ptn	Ncl
Smooth_muscle	Oligodendrocyte	Vtn	Itgav_Itgb1
Smooth_muscle	Pericyte	Agrn	Dag1
Smooth_muscle	Pericyte	App	Tnfrsf21
Smooth_muscle	Pericyte	Col1a2	Itga1_Itgb1
Smooth_muscle	Pericyte	Col4a1	Itga1_Itgb1
Smooth_muscle	Pericyte	Col4a2	Itga1_Itgb1
Smooth_muscle	Pericyte	Entpd1	Adora2a
Smooth_muscle	Pericyte	Fgf1	Fgfr1
Smooth_muscle	Pericyte	Gas6	Axl
Smooth_muscle	Pericyte	Hspg2	Dag1
Smooth_muscle	Pericyte	Jag1	Notch1
Smooth_muscle	Pericyte	Jag1	Notch3
Smooth_muscle	Pericyte	Lama5	Dag1
Smooth_muscle	Pericyte	Lama5	Itga6_Itgb1
Smooth_muscle	Pericyte	Lamb2	Dag1
Smooth_muscle	Pericyte	Lamb2	Itga6_Itgb1
Smooth_muscle	Pericyte	Lamc1	Dag1
Smooth_muscle	Pericyte	Lamc1	Itga6_Itgb1
Smooth_muscle	Pericyte	Mif	Ackr3
Smooth_muscle	Pericyte	Pdgfa	Pdgfrb
Smooth_muscle	Pericyte	Pros1	Axl
Smooth_muscle	Pericyte	Ptn	Ncl
Smooth_muscle	Pericyte	Ptn	Sdc2
Smooth_muscle	Pericyte	Ptn	Sdc3
Smooth_muscle	Smooth_muscle	Agrn	Dag1
Smooth_muscle	Smooth_muscle	App	Cd74
Smooth_muscle	Smooth_muscle	Col1a2	Itga1_Itgb1
Smooth_muscle	Smooth_muscle	Col4a1	Itga1_Itgb1
Smooth_muscle	Smooth_muscle	Col4a2	Itga1_Itgb1
Smooth_muscle	Smooth_muscle	Fgf1	Fgfr1
Smooth_muscle	Smooth_muscle	Fn1	Itgav_Itgb1
Smooth_muscle	Smooth_muscle	Gas6	Axl
Smooth_muscle	Smooth_muscle	Gas6	Mertk
Smooth_muscle	Smooth_muscle	Grn	Sort1
Smooth_muscle	Smooth_muscle	Hspg2	Dag1
Smooth_muscle	Smooth_muscle	Jag1	Notch1
Smooth_muscle	Smooth_muscle	Jag1	Notch2
Smooth_muscle	Smooth_muscle	Jag1	Notch3
Smooth_muscle	Smooth_muscle	Lama5	Dag1
Smooth_muscle	Smooth_muscle	Lama5	Itga7_Itgb1
Smooth_muscle	Smooth_muscle	Lamb2	Dag1
Smooth_muscle	Smooth_muscle	Lamb2	Itga7_Itgb1
Smooth_muscle	Smooth_muscle	Lamc1	Dag1
Smooth_muscle	Smooth_muscle	Lamc1	Itga7_Itgb1
Smooth_muscle	Smooth_muscle	Mif	Ackr3
Smooth_muscle	Smooth_muscle	Pdgfa	Pdgfrb
Smooth_muscle	Smooth_muscle	Pros1	Axl
Smooth_muscle	Smooth_muscle	Pros1	Mertk
Smooth_muscle	Smooth_muscle	Ptn	Ncl
Smooth_muscle	Smooth_muscle	Ptn	Sdc2
Smooth_muscle	Smooth_muscle	Ptn	Sdc4
Smooth_muscle	Smooth_muscle	Vtn	Itgav_Itgb1
Smooth_muscle	Smooth_muscle	Vtn	Itgav_Itgb5
