source	target	original_ligand	original_receptor	canonical_ligand	canonical_receptor	complex_order_changed	n_native_rows_exact_canonical	n_native_protein_rows_exact_canonical	native_interaction_ids	casefold_only_native_match	all_original_subunit_symbols_in_native_geneInfo	native_rows_requiring_additional_subunits	missing_genes_by_sample	in_controlled_1548	in_final_32	reason
Endothelial	Astrocyte	Adam10	Axl	Adam10	Axl	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Cadm1	Adam10	Cadm1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Notch1	Adam10	Notch1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Notch2	Adam10	Notch2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Nrcam	Adam10	Nrcam	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Trem2	Adam10	Trem2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Tspan12	Adam10	Tspan12	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Tspan14	Adam10	Tspan14	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Tspan15	Adam10	Tspan15	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam10	Tspan5	Adam10	Tspan5	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam15	Itgav	Adam15	Itgav	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adam15	Itgb1	Adam15	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adm	Adcyap1r1	Adm	Adcyap1r1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adm	Ramp1	Adm	Ramp1	False	0	0		False	True	ADM_CALCR_RAMP1|ADM_CALCRL_RAMP1	{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Adm	Ramp2	Adm	Ramp2	False	0	0		False	True	ADM_CALCR_RAMP2|ADM_CALCRL_RAMP2	{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Agrn	Dag1	Agrn	Dag1	False	1	1	AGRN_DAG1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Agrn	Itgb1	Agrn	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Agrn	Lrp1	Agrn	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Agrn	Lrp4	Agrn	Lrp4	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Apoe	Abca1	Apoe	Abca1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Apoe	Lrp1	Apoe	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Apoe	Lrp4	Apoe	Lrp4	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Apoe	Sdc2	Apoe	Sdc2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Apoe	Trem2	Apoe	Trem2	False	0	0		False	True	APOE_TREM2_TYROBP	{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Aplp1	App	Aplp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Aplp2	App	Aplp2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Lrp1	App	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Lrp10	App	Lrp10	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Ncstn	App	Ncstn	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Notch2	App	Notch2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Rpsa	App	Rpsa	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Tspan12	App	Tspan12	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	App	Tspan15	App	Tspan15	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Arf1	Insr	Arf1	Insr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Arf1	Pld2	Arf1	Pld2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Arf6	Smap1	Arf6	Smap1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	B2m	Tfrc	B2m	Tfrc	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Bsg	Slc16a1	Bsg	Slc16a1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	C1qb	C1qbp	C1qb	C1qbp	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	C1qb	Lrp1	C1qb	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Calr	Itgav	Calr	Itgav	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Calr	Lrp1	Calr	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Cd47	Sirpa	Cd47	Sirpa	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Col4a1	Cd47	Col4a1	Cd47	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	Col4a1	Itgav_Itgb8	False	1	1	COL4A1_ITGAV_ITGB8	False	True		{}	True	True	retained
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	Col4a2	Itgav_Itgb8	False	1	1	COL4A2_ITGAV_ITGB8	False	True		{}	True	True	retained
Endothelial	Astrocyte	Col4a2	Itgb5	Col4a2	Itgb5	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Cxcl12	Itgav	Cxcl12	Itgav	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Cxcl12	Itgb1	Cxcl12	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Cxcl12	Sdc4	Cxcl12	Sdc4	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Dll4	Notch1	Dll4	Notch1	False	1	1	DLL4_NOTCH1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Dll4	Notch2	Dll4	Notch2	False	1	1	DLL4_NOTCH2	False	True		{}	True	True	retained
Endothelial	Astrocyte	Edn1	Ednrb	Edn1	Ednrb	False	1	1	EDN1_EDNRB	False	True		{}	True	True	retained
Endothelial	Astrocyte	Efna1	Epha5	Efna1	Epha5	False	1	1	EFNA1_EPHA5	False	True		{}	True	True	retained
Endothelial	Astrocyte	Entpd1	Adora2b	Entpd1	Adora2b	False	1	1	ENTPD1_ADORA2B	False	True		{}	True	True	retained
Endothelial	Astrocyte	Fam3c	Lamp1	Fam3c	Lamp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Fn1	Itga6	Fn1	Itga6	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	Fn1	Itgav_Itgb1	False	1	1	FN1_ITGAV_ITGB1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Fn1	Itgav_Itgb8	Fn1	Itgav_Itgb8	False	1	1	FN1_ITGAV_ITGB8	False	True		{}	True	True	retained
Endothelial	Astrocyte	Fn1	Sdc2	Fn1	Sdc2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Gas6	Axl	Gas6	Axl	False	1	1	GAS6_AXL	False	True		{}	True	True	retained
Endothelial	Astrocyte	Gas6	Mertk	Gas6	Mertk	False	1	1	GAS6_MERTK	False	True		{}	True	True	retained
Endothelial	Astrocyte	Gnai2	Ednrb	Gnai2	Ednrb	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Gnai2	Igf1r	Gnai2	Igf1r	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Gnai2	S1pr1	Gnai2	S1pr1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Gpi1	Amfr	Gpi1	Amfr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Grn	Tnfrsf1a	Grn	Tnfrsf1a	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	H2-K1	Aplp2	H2-K1	Aplp2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Hbegf	Cd9	Hbegf	Cd9	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Hsp90b1	Lrp1	Hsp90b1	Lrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Endothelial	Astrocyte	Jam2	Itgav_Itgb1	Jam2	Itgav_Itgb1	False	1	1	JAM2_ITGAV_ITGB1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Lamb2	Dag1	Lamb2	Dag1	False	1	1	LAMB2_DAG1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1	Lamb2	Itga6_Itgb1	False	1	1	LAMB2_ITGA6_ITGB1	False	True		{}	True	True	retained
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8	Lamb2	Itgav_Itgb8	False	1	1	LAMB2_ITGAV_ITGB8	False	True		{}	True	True	retained
