dataset	sample	label_source	label	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction
GSE174574	GSM5319992	whole_brain_broad	Neuron/Other	109	0.4201750766766609	0.288250170010215	0.0170329008884708	0.848935246535711	0.9973510826899428	367702	217940.4336134252	0.4072905950649569
GSE174574	GSM5319992	whole_brain_broad	OEC	8	0.000848714139286475	0.00079597170109515	0.0005831540795645999	0.001153128206743525	0.00123329973991864	27511	27488.990205570182	0.0008000361466256045
GSE174574	GSM5319992	whole_brain_broad	Oligodendrocyte	273	0.11567944620374004	0.0350817765478781	0.0166334824216476	0.0800459190526364	0.5739744125453563	1565134	1351133.714925176	0.1367296890073464
GSE174574	GSM5319992	whole_brain_broad	Pericyte	138	0.09628776933528456	0.029560096582531302	0.0099149471947102	0.1066611884496485	0.3827298966330821	384571	335833.9711452959	0.12673089976806395
GSE174574	GSM5319992	whole_brain_broad	Smooth_muscle	376	0.09256819440881121	0.059124906380074255	0.04132847439135398	0.0957839578991949	0.27203298400027953	1454604	1305048.9898521665	0.10281493117565565
GSE174574	GSM5319992	whole_brain_broad	Tanycyte	9	0.2607403123443138	0.0009782944884668	0.0007494348255589	0.360490002279343	0.9912361076691524	38827	30388.10475919579	0.21734605405527618
GSE174574	GSM5319992	cell_type	Astrocyte	514	0.1436082697359805	0.057544133189578545	0.0319335326894281	0.1651300565703795	0.5919807996786777	2327745	1934284.045177404	0.1690309526269398
GSE174574	GSM5319992	cell_type	Choroid	540	0.16406975568718796	0.05842443403418145	0.03298841278087282	0.14272743660145398	0.9085125397833178	3215014	2709546.8179086745	0.15722083390346842
GSE174574	GSM5319992	cell_type	Endothelial	1552	0.06848153208358515	0.058097031400159704	0.04653072266250378	0.07438857149583623	0.12203897269489367	5550504	5151247.76525444	0.07193152815412085
GSE174574	GSM5319992	cell_type	Ependymal	59	0.10055813168188994	0.0285571096875365	0.005506306108347301	0.07711136132970464	0.5383443026517649	299335	272959.40347901103	0.08811397437983859
GSE174574	GSM5319992	cell_type	Erythroid	94	0.17730379845582447	0.0823644093556335	0.04713229987051435	0.15356163159823777	0.9552655848250947	390974	305995.5174155069	0.21735072558403656
GSE174574	GSM5319992	cell_type	Fibroblast	66	0.12945965298199755	0.07476514444368335	0.0367110941897447	0.15613770088515674	0.48724621487453124	346872	298361.4247900569	0.1398515164381764
GSE174574	GSM5319992	cell_type	Lymphocyte	37	0.1284798259151101	0.0805292029032931	0.0074463658445274	0.159349683718042	0.41205548888734284	151954	133277.2836941776	0.1229103301382155
GSE174574	GSM5319992	cell_type	Microglia	862	0.11355730017786982	0.06450524301816696	0.04955419325182685	0.09088606172949812	0.48658764444708236	3571675	3139191.2459221445	0.1210870961321664
GSE174574	GSM5319992	cell_type	Myeloid	964	0.13069603013595513	0.0490018918707046	0.028130563704532024	0.10362610045812524	0.9277738285913203	5439650	4857152.713636482	0.10708359662175282
GSE174574	GSM5319992	cell_type	Neuron	5	0.289288327900571	0.250760868723128	0.228913656633447	0.255681101148325	0.5932717510066849	20238	14303.376454238092	0.2932416022216576
GSE174574	GSM5319992	cell_type	Neutrophil	176	0.1923740558515111	0.09291349449219766	0.028495737283249827	0.33017950295952625	0.6462131474666528	473654	375514.0189515806	0.20719761903925515
GSE174574	GSM5319992	cell_type	OPC	6	0.21460266632998792	0.10778220196703114	0.06587689734821178	0.308876142613061	0.5534547834505897	18710	14023.77355898293	0.2504664051853057
GSE174574	GSM5319992	cell_type	Oligodendrocyte	297	0.11273981036512574	0.0375079229852863	0.0175553061375546	0.0839936907176828	0.5393528626756151	1632679	1417564.443319045	0.1317555727004237
GSE174574	GSM5319992	cell_type	Pericyte	235	0.15163021688982486	0.0935279622421856	0.021756405962118003	0.19625649617906848	0.5488397819811082	790868	638976.9575660785	0.19205612369437308
GSE174574	GSM5319992	cell_type	Smooth_muscle	386	0.12736666951614367	0.0601786115128827	0.04233862538702825	0.12066809531975276	0.5457121508324225	1556318	1327340.5180618125	0.14712769622801225
GSE174574	GSM5319992	cell_type	Unassigned	2287	0.13199013432447296	0.0668935018302655	0.0492669145015271	0.1021850313842705	0.591586942777887	8707215	7451666.9184947675	0.14419628796408868
