dataset	config	sender	receiver	ligand	receptor	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	loso_min_delta	loso_max_delta	loso_same_direction_fraction
GSE245386	primary	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0374836346417061	0.2716588254552697	0.2341751908135635	0.3346260382637714	0.1	6.859187773931327	0.2074372413479165	2.1065544192432425e-05	0.1148195076493986	True	False	True	0.2784082091868404	0.2666876603696447		0.6239893134428552	0.5641348592738433		0.09820041632803081	0.3701499652990965	1.0
GSE245386	primary	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.2481449453584783	0.8417562153871725	-0.406388729971306	0.0367108081513406	0.1	-0.7911851650517524	-1.0426486355109474	0.0317707057924957	2.213267806587157e-17	True	True	True	0.58068552141527	0.6764619131136049		0.3316738623636964	0.3047326883201029	0.2959226570625264	-0.48284619125210326	-0.33319477202202574	1.0
GSE245386	primary	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	2.22201447508199	1.088601672173708	-1.133412802908282	0.0914264532064561	0.1	-3.107974134547109	-0.37119535709498	1.1891106904755533e-17	0.4190474971429852	True	False	True	0.4377103065002851	0.8435172253258846		0.4226386231942292	0.3807552537866976	0.3443991350453551	-1.358699051908479	-0.9081265539080852	1.0
GSE245386	primary	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.986735231208466	1.3763597310066031	0.389624499798137	0.018230237911317	0.1	0.9497380699391004	0.6101579583740807	8.970550800886093e-15	0.1705920620167662	True	False	True	0.8875399844869059	0.6289377715704532		0.2970308805889282	0.2736217697993153	0.2537250874878106	0.33686343404129904	0.4423855655549753	1.0
GSE245386	strict_identity	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0399095085135814	0.2721919817815761	0.2322824732679946	0.3364054808015243	0.1	6.693312839830992	0.1991981249150947	2.9522933169251672e-05	0.1196014655730582	True	False	True	0.2897469121260054	0.2771461909364936		0.6062337262934603	0.5559306609236773		0.09646355433928389	0.3681013921967055	1.0
GSE245386	strict_identity	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.298120566714912	0.8616491770261501	-0.436471389688762	0.0425676863322806	0.1	-0.8301364121564139	-1.0448174670094426	0.0192033986856131	6.2251203154902384e-18	True	True	True	0.5946863886738689	0.7187095685597114		0.3079159549591048	0.2821056164110251	0.2576124102027561	-0.5195556188498415	-0.3533871605276825	1.0
GSE245386	strict_identity	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	2.283500733133271	1.1079482607558282	-1.1755524723774429	0.0948015879941545	0.1	-3.1502257815068004	-0.3916934960862459	6.467481401514256e-19	0.3347648011282322	True	False	True	0.4486771662100404	0.8720116896083645		0.4021366999752043	0.3641405431456241	0.309995764518591	-1.3914425551253662	-0.9596623896295196	1.0
GSE245386	strict_identity	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	1.0106718394123482	1.4130219497532794	0.4023501103409312	0.038271837802344	0.1	0.945364353857425	0.6168475293187313	1.6776860233328994e-15	0.1442067568148511	True	False	True	0.8988541922863531	0.6586398770459619		0.2978106583957238	0.2679028646164086	0.2447078114028667	0.336416728944706	0.46828349173715655	1.0
GSE245386	mt10	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0405352150636905	0.2797278502072893	0.2391926351435988	0.3474435280161908	0.1	6.8242037881968365	0.2083402947814205	2.793982934968448e-05	0.1140935122016535	True	False	True	0.3082264752791068	0.2681739676558329		0.6300224230597349	0.5792561910815883		0.09382880995894716	0.38455646032825047	1.0
GSE245386	mt10	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.2737109532036626	0.8580837930317143	-0.4156271601719482	0.037556993638975	0.2	-0.8009834913439459	-1.0415441946976702	0.032121418899803	2.466065895272005e-17	True	True	True	0.6248516746411483	0.6797205971712492		0.3782005488220309	0.3442442094231639	0.2938379759496572	-0.498881190041672	-0.34097632453175875	1.0
GSE245386	mt10	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	2.2469409808570617	1.0973652629870323	-1.1495757178700292	0.0835562465773952	0.1	-3.107452577406672	-0.3719863000815087	1.0065802576904617e-17	0.4355872383181637	True	False	True	0.4391343502492009	0.863304625199362		0.4331087553127948	0.4018116372117452	0.3531433817610666	-1.378744799516145	-0.9204066362239125	1.0
GSE245386	mt10	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	1.019050365069763	1.413772817839549	0.3947224527697859	0.0208553144710123	0.1	0.9494936434094828	0.6187142047975439	9.271198611251706e-15	0.1710021874290235	True	False	True	0.8901432732851108	0.6820414673046252		0.3381942887191195	0.295752401108851	0.2464860742400659	0.32772799579172074	0.4498198474441477	1.0
GSE245386	low_myeloid	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0387942888346777	0.2582694436529275	0.2194751548182498	0.3277586220286295	0.1	5.72459517449454	0.1848283775482725	1.705402041197854e-05	0.1098938551927663	True	False	True	0.2703582544623006	0.2612518881593143		0.5910828907153153	0.5425403176906137		0.09509673993936596	0.34385356969713377	1.0
GSE245386	low_myeloid	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.255494146005821	0.8491834981999602	-0.4063106478058609	0.0337060635688249	0.1	-0.8134561026909529	-1.0599039495043685	0.0162198714972527	9.069818346807059e-21	True	True	True	0.5806813610281818	0.6737260704707297		0.3142667598695355	0.283989203024417	0.2678641487398407	-0.4820137248918721	-0.3361011090727667	1.0
GSE245386	low_myeloid	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	2.2444704780976386	1.0964134975940836	-1.148056980503555	0.093276890120276	0.1	-3.120037122915591	-0.4003380817182521	8.807414114418517e-18	0.3116499420868479	True	False	True	0.4357346673756898	0.8463708738275213		0.4114481367933661	0.3680011404356785	0.3225134607042475	-1.37084253377259	-0.9252714272345199	1.0
GSE245386	low_myeloid	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.9885268376420115	1.376738430086312	0.3882115924443006	0.0201512060324672	0.1	0.9265464674480666	0.604388612512197	3.4606695962060743e-19	0.1696316537835801	True	False	True	0.8867232054779741	0.6188570581634165		0.2728491482578409	0.2435222017143919	0.2344477235484525	0.33480709353723115	0.44161609135137003	1.0
